,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
B4GALNT3,0.75077415,-0.25444627,-0.19839704,0.48946142,0.02373457,-0.07677078,-0.0041753054,0.18250346,0.058996677,-0.16306639,0.03721416,0.37087202,0.07394552,0.14812648,0.34581423,0.023537874,0.1677692,-0.19654036,-0.00846982,-0.101307034
B4GALT1,1.2380242,-0.0041753054,-0.01989156,-0.19874573,0.016468763,-0.18042922,0.039623678,-0.012212992,0.013247132,-0.10820031,0.08812249,-0.22209883,-0.20239353,-0.07261187,-0.15780479,0.02424717,-0.0055640936,-0.034171343,0.08896291,-0.25131106
B4GALT1-AS1,-0.069117546,-0.19453764,-0.3974557,0.25224686,0.15630722,-0.6759882,-0.02462864,0.34017563,0.097727776,-0.21775961,0.077199936,0.19490719,-0.31721592,-0.3130436,-0.5424261,-0.0023126602,0.1339078,0.115168095,-0.12784004,0.117492676
B4GALT3,0.7696867,0.07143319,0.008904934,0.34625828,-0.16431212,0.36556423,-0.042927265,0.23229718,0.024122,-0.020346045,-0.09615719,0.15341938,0.14485419,0.33513606,0.53684413,0.043675303,0.01822114,-0.22623241,0.018316507,0.017988682
B4GALT4,0.585936,-0.3639117,0.12328327,-0.078353286,0.42313784,0.03247708,-0.010070205,0.31333864,0.018848479,0.38426518,0.18990487,-0.07611066,0.31922758,0.39301813,-0.66881925,0.06119907,-0.005556643,0.38318932,0.16514659,-0.08223504
B4GALT5,-0.272429,-0.057923794,-0.15414357,-0.17646551,0.16964674,-0.5221665,0.033563375,-0.028431416,0.0150978565,0.2081573,0.12851357,-0.12355447,0.18905997,0.025904179,-0.5409658,-0.004017353,0.25862455,-0.051873922,0.06996989,-0.22296906
B4GALT7,0.21031499,-0.067579746,0.23296475,0.18543601,-0.33164024,0.5745411,-0.051796436,-0.04078746,0.04694462,-0.42672753,-0.047391653,-0.007927418,-0.07779002,-0.1853466,0.42515993,-0.0543952,-0.06764531,-0.908494,-0.13309717,0.12623072
B4GAT1,0.727338,-0.2061531,-0.04926771,0.12924857,-0.16817749,-0.28798878,-0.062289834,0.01835972,0.050000846,-0.5718872,-0.09748936,-0.05786121,-0.21118224,0.11029728,-0.38178414,-0.01643002,-0.16591102,-0.99699795,-0.1913324,-0.39784014
B9D1,0.7049203,-0.085258484,0.17573237,0.2937019,0.35001636,0.31124353,0.043153763,-0.021463633,-0.056558847,-0.12151599,0.12726784,0.04206896,0.09995699,0.28100014,0.1922369,-0.060665607,-0.075781345,-0.25795698,-0.17709732,-0.14027953
B9D2,-0.77967644,0.012892485,-0.11049509,-0.3178656,0.061529875,-0.6234765,0.0038206577,0.03529191,0.041741133,-0.0030875206,0.050723553,-0.03271699,-0.22925735,-0.08148551,-0.4136026,0.027996302,0.19957423,-0.5419493,-0.050598383,0.047051907
BABAM1,0.19838214,-0.05428791,0.3031373,0.668329,-0.1845926,0.722456,-0.01322031,0.3697455,-0.011184812,-0.059217215,-0.09086728,0.052696466,0.19132197,0.14514625,0.72436035,0.051501393,-0.029590726,-0.37591457,0.05313456,0.16562939
BABAM2,0.24255216,0.034549832,-0.16030669,-0.4733771,0.22065938,-0.47269762,-0.03709197,-0.30155182,0.012278557,0.03938973,-0.010725856,0.12289584,0.023439527,0.13121963,0.6461412,0.034877658,-0.20883083,-0.6827861,0.012114644,0.13906062
BACE1,0.73815584,0.2481103,0.051999092,0.44971108,0.12746453,-0.009977818,0.03463626,0.18206239,0.025302172,-0.54674745,-0.039821863,0.06830692,-0.07492304,-0.10948181,-0.15695095,-0.0569582,0.1178205,-0.4682064,0.08289814,-0.16996264
BACE1-AS,0.80401975,0.08812398,-0.022608787,0.28227493,-0.11418834,-0.2966106,-0.009409338,0.13251603,0.017059594,-0.28477982,-0.0749141,0.09965822,-0.53220916,-0.2605118,-0.05499348,0.017641485,-0.08185208,-1.0042883,-0.12821704,-0.074853
BACE2,0.7383853,0.14872849,0.35544336,0.7112026,0.057148933,0.6961584,-0.038266182,0.38624406,-0.012487173,0.044330955,0.1749754,0.12291968,-0.030767918,0.04775524,0.5813092,-0.050717592,-0.08752644,-0.499025,0.09998083,-0.25372207
BACH1,0.27251542,0.18917918,0.04518032,-0.05991906,-0.04668981,-0.6678358,0.023692846,-0.13527423,0.03912598,-0.27749538,0.022737682,-0.2584055,0.05443245,-0.097991526,-0.94299316,0.016905367,0.24073422,0.27193576,0.005720556,-0.30885786
BACH2,1.4584303,0.008225441,0.27807653,0.29753447,-0.19851923,0.2860844,-0.015237927,0.021636486,0.030130148,-0.10110438,0.063085556,-0.24580657,-0.076287985,-0.2735138,0.056359172,-0.03271699,-0.17289817,-0.09943843,0.005710125,-0.37355423
BAD,-0.22545457,0.13574958,0.34430623,0.12099743,0.045341253,-0.39645433,-0.007265806,-0.016206503,0.024455786,-0.078082085,0.08679628,-0.05249977,-0.18518567,0.049567223,0.6141007,0.021243095,-0.06502271,-1.0443628,-0.060749054,0.11936426
BAG1,-0.69794357,-0.3898561,0.05148053,0.59420466,-0.11919141,0.95555186,-0.00074505806,0.18268228,-0.010821223,-0.19262433,-0.07327497,0.072968006,0.29986203,0.03799796,0.46859384,-0.0082194805,0.0064253807,0.372684,-0.02977252,0.2138108
BAG2,0.62545836,-0.33074915,0.22350252,0.53139704,0.02207607,-0.4375033,0.017081201,0.40150508,0.021713972,-0.017495453,-0.105345994,0.12047216,0.2872482,0.54519624,-0.14797822,-0.037564337,-0.036846846,0.1751937,0.044119358,-0.17159879
BAG3,0.83470345,0.17698407,-0.08598566,0.06697178,-0.0767529,0.28623343,0.011730194,-0.14687777,-0.053435564,0.051504374,-0.116324425,0.22958517,0.2516508,0.23093224,0.62252283,0.003117323,-0.08730888,0.61455965,0.0777483,0.13055205
BAG4,0.23863018,0.012536347,0.33065677,0.3192693,0.3504634,-0.63381493,0.0057920814,0.07055104,0.053189695,-0.035068393,0.10120273,-0.26975572,0.22522062,-0.07209033,-1.0048419,0.038208067,0.09568632,0.04851073,0.072044134,-0.16742796
BAG5,1.2181298,-0.17677397,0.011276454,0.13349354,-0.11586249,-0.47269166,0.028319657,-0.11441931,-0.007389486,-0.39070323,-0.047313422,-0.14071763,-0.120534,0.026394427,-0.5810209,0.0039950013,-0.07247031,-0.32980517,-0.107087195,-0.39634183
BAG6,0.15538931,-0.42113066,-0.20343065,0.25354624,-0.39229393,1.22298,-0.018322468,0.13215542,0.010585785,-0.27878284,-0.14430285,0.11936426,0.3332138,0.30947924,0.5535841,-0.074374676,-0.05019903,-0.119805336,-0.12799501,0.055503845
BAHD1,1.5989333,0.038325787,0.049114227,0.13483167,-0.4618019,0.14558434,-0.0036507845,-0.1044333,-0.0010043383,-0.3132105,-0.063574314,-0.15589595,-0.15767813,-0.22669435,0.12406111,-0.005841255,-0.15636086,-0.39011836,-0.08612573,-0.25802255
BAIAP2,0.9860754,0.14859438,-0.12475252,-0.063836575,-0.0103235245,-0.03412962,0.008010864,-0.23241043,-0.058567524,-0.050020218,-0.0128388405,0.11392832,-0.1382947,-0.044310093,0.647676,-0.023114681,-0.06393194,0.059854984,-0.01373291,-0.121474266
BAIAP2-DT,-0.15874356,0.1674369,-0.019541383,0.12830645,-0.14449805,-0.5843848,0.014895201,0.09653717,-0.01270026,-0.4132852,-0.008888543,-0.06904602,-0.12537241,-0.3088519,-0.47331005,-0.04402846,0.03888756,-0.74156076,-0.0640586,-0.25234073
BAIAP3,0.7097587,0.28966516,-0.2977416,0.06591231,-0.03347844,-0.16923845,-0.07638335,0.17077178,0.0049471855,-0.20440668,0.13199598,0.1937285,-0.44083744,-0.61333627,-0.061666965,-0.0056132674,0.08259714,-0.2963066,0.032645464,0.10970235
BAK1,0.8553773,0.20034909,0.11922717,0.15255809,-0.21402538,-0.09430647,-0.0021189451,0.02732873,0.015345216,-0.13839304,-0.10661483,0.002744794,-0.010687113,0.14468431,0.6664485,0.06121099,-0.09111464,-0.7464856,-0.024309754,-0.120821595
BANF1,0.7311046,0.18610358,0.13709068,0.18060505,-0.09405613,0.010305643,-0.014573336,-0.12896657,-0.012668967,-0.12831688,-0.09641051,0.31457543,0.16169548,0.33122897,0.9400934,-0.0066310167,-0.12597442,-0.5056113,0.00086426735,0.038191676
BANK1,1.2814537,0.0027179718,0.2364248,0.38987845,-0.12612343,-0.29937774,0.008767843,0.06483495,0.01885891,-0.28502643,0.18265247,-0.0005185604,-0.059257448,-0.31639785,0.13061464,-0.030831993,-0.16129315,-0.26443303,0.08621663,-0.160487
BANP,0.9951472,0.2506137,-0.19571185,-0.17591715,-0.21125078,-0.29790998,0.00436306,0.106185675,0.0019550323,-0.056254864,-0.073087215,0.089007616,-0.36340952,-0.3216684,-0.018697977,-0.021904707,0.010180473,-0.090146065,0.027960539,0.14852285
BAP1,1.2574662,0.2544623,-0.041101873,-0.3134411,0.027052686,0.07897951,-0.012151524,-0.116750225,-0.0069808215,-0.18765181,0.07862076,-0.10064505,-0.08276589,-0.13746955,0.059146434,-0.014161319,0.01729317,-0.6807473,-0.018554926,-0.044788048
BARD1,0.90442896,0.06902814,0.40067136,0.32856166,0.17442107,-0.123885274,0.0026524067,0.19640923,0.08917153,0.29123425,0.05967319,-0.11923015,0.17910004,-0.05197525,-0.5462438,0.07611513,-0.0056505203,-0.124144554,0.124526024,-0.17665625
BASP1,-0.32766163,0.07239878,-0.3851682,-0.79340637,0.21077394,-0.5920768,0.057312846,-0.38116276,-0.008454919,0.46010315,0.15525818,-0.17201304,0.13743937,-0.4400134,-0.5006492,-0.011071563,0.32811165,0.33510625,0.043177605,0.14817715
BATF,-0.42963624,-0.31063557,0.2891302,-0.2909422,-0.30881166,-0.8116543,-0.0061690807,0.0746429,0.049489737,0.098502636,0.043934584,-0.12737513,-0.0910759,0.09986162,0.21224618,0.03349185,0.08279085,-0.7215798,-0.0071048737,-0.019395351
BATF3,0.05286336,0.45360923,0.3305912,0.1642406,-0.06990433,0.064754486,0.023448467,-0.37001967,-0.018835068,-0.34874678,-0.14734268,0.2556324,0.20570755,0.10538101,0.50653815,-0.034415722,-0.19197464,-0.5138278,0.076162815,0.10893941
BAX,0.68133473,0.32048225,-0.029557943,-0.34128428,0.0905633,-0.21000504,-0.021189451,-0.33531785,-0.009632111,0.0074088573,0.049954653,0.1311779,0.04938841,0.20628572,0.96812844,0.02835393,0.016891956,-0.48490167,0.14126897,0.056654215
BAZ1A,-0.04608035,-0.16286373,0.03504157,-0.10935664,0.056046247,-0.8765638,0.04451275,0.16819239,0.012803078,0.24521947,0.15665889,-0.07917285,0.090163946,0.07709861,-1.0457933,0.030255318,0.26097894,0.068336725,0.034350157,-0.177145
BAZ1B,1.291579,-0.061649084,-0.10868907,0.20738244,-0.27727485,-0.12708902,0.008440018,-0.056880713,-0.009262562,-0.16219616,-0.15847087,0.08112788,0.1534462,0.30847192,0.21175742,-8.940697e-05,-0.03682375,-0.37325025,-0.011795759,-0.3740132
BAZ2A,0.9246111,0.37089586,-0.43689013,-0.3148079,0.010788441,0.08469224,0.01963973,-0.14333129,-0.03761649,0.35764575,0.0005841255,0.11996627,-0.021380186,-0.022923946,0.19044876,-0.018954277,0.192523,0.515759,0.09531975,-0.096964836
BAZ2B,0.8116916,0.21093935,-0.17771125,0.31503066,0.36539063,-0.72839856,-0.02413094,0.13639331,-0.054344535,0.18247068,0.08393377,0.23545697,-0.18700063,-0.15903562,-0.8987859,0.002321601,0.06971657,0.7786542,0.04415065,-0.056406856
BBC3,0.4094869,0.670737,-0.40104687,-0.049105287,0.33145845,-0.0021457672,-0.06607473,-0.4239112,0.0012010336,-0.05451739,-0.04774034,0.28471053,-0.27764142,-0.24072528,0.60406923,-6.258488e-05,0.04450977,0.26896,-0.06045699,0.22456646
BBIP1,0.7517159,0.18411875,-0.08173287,0.13717115,0.29766262,-0.5023122,0.0044882298,0.08571148,-0.024068356,-0.040251017,0.026592612,-0.003233552,-0.3159821,-0.16617775,-1.099211,0.014805794,0.12433231,0.32245517,-0.041860342,-0.032305717
BBOF1,-0.5891144,-0.37943125,0.17797798,0.66907257,-0.17313063,0.8067772,-0.019326806,0.40827245,0.03526807,-0.09777546,-0.10578632,0.14147758,0.36450475,0.23944825,0.44573396,0.050023198,0.119933486,0.20111054,0.05107075,0.15358776
BBS1,0.8389898,-0.031556934,-0.15372708,-0.016888231,0.0030048192,0.16859248,0.015865266,-0.039976835,0.037148595,-0.21434501,-0.1071848,-0.15751943,-0.13345033,-0.28575063,-0.24626255,0.021705776,-0.12102574,-1.0123677,-0.09667724,-0.0029928982
BBS10,0.1783073,-0.016891956,0.2148509,0.23370981,-0.18348098,-0.66583157,-0.006341934,0.3753543,0.043594837,-0.36016703,-0.008630753,0.023466349,-0.34947395,-0.30663013,-0.8740485,0.01335144,0.0842154,-0.48683286,-0.0706017,0.035881996
BBS12,0.863868,-0.21288991,0.12084842,0.6679237,-0.1914382,-0.14679432,-0.015872717,0.30028224,0.012779236,-0.4512787,0.052970648,-0.020128489,0.47658682,0.29922724,-0.76777935,-0.0041902065,0.042665005,-0.14072657,-0.074863434,-0.46995878
BBS2,1.23564,0.06528497,0.106716156,0.2616614,-0.16212761,-0.12824237,0.034096837,-0.0047773123,-0.017380714,-0.25189817,-0.15769303,-0.12270808,-0.10535121,-0.23352802,-0.33740997,0.05209148,-0.16162992,-0.5996227,-0.01514554,-0.19487143
BBS4,1.2451575,-0.07120818,0.026325881,0.38857758,-0.051757693,-0.20940751,0.01590103,0.099651515,-0.02643615,-0.31753927,-0.00410378,0.06290823,-0.14283508,-0.11938363,-0.251922,-0.007633865,-0.17505735,-0.35671592,-0.1327321,-0.027285516
BBS7,0.5602345,-0.18014163,0.40570349,0.46836287,-0.006726384,-0.58867186,0.0031262636,0.27315468,-0.0033587217,-0.19162595,-0.12180805,-0.08010119,0.2595201,0.1356706,-0.69258064,0.0742957,-0.04852861,-0.26667863,0.038599968,0.024561584
BBS9,1.1946857,-0.27090907,-0.13973117,0.26689172,-0.110048056,-0.18686056,0.037497282,-0.0072419643,-0.050228834,0.014084578,-0.0028789043,0.16394854,0.10899305,-0.009083748,0.24465919,0.011795759,-0.18464923,0.020104647,0.012284517,-0.05608797
BBX,1.3171524,0.02374351,-0.049194694,0.104767084,-0.17367303,-0.25792718,0.02785027,-0.028547645,0.038048625,-0.17881691,-0.05413592,0.01834333,0.109919906,0.04030764,-0.35523474,0.0038564205,-0.029245019,0.14223456,-0.0054121017,-0.29387772
BCAM,-0.16028881,0.18965006,0.32958984,0.5612135,0.08366108,1.3610125,0.009870529,0.21164417,-0.01783371,0.12795925,-0.10422468,0.09999275,0.41085482,0.35328865,0.10409355,-0.03989935,-0.20387173,0.070631504,0.06824732,-0.09988546
BCAP29,0.31177998,-0.018692017,0.37167817,0.3560394,0.013519824,-0.63720495,0.0009402633,0.14131367,0.029492378,-0.24880171,-0.0030174851,-0.034606457,0.4523456,0.27395785,-0.64410716,0.007894635,0.06798804,-0.23482442,0.02719909,-0.19043535
BCAP31,-0.29825568,-0.005733967,-0.21557808,-0.60242414,0.21104813,-0.48823357,0.01398325,-0.33034086,0.027871132,0.17125607,0.0011742115,-0.010949373,-0.12570024,0.12718439,0.2505064,0.016057491,-0.03912449,-0.548321,-0.048589706,0.040501356
BCAS2,1.2552023,0.028169155,0.20999312,0.33237338,0.036138296,-0.3128767,0.028324127,-0.25402308,-0.041782856,-0.10724068,-0.14520884,0.050497055,0.07264614,0.045847893,0.32485127,0.021100044,-0.1715362,0.46740174,-0.0390172,-0.05096793
BCAS3,0.7045984,-0.00628829,-0.74619055,-0.3425002,0.09430647,-0.110799074,0.016200542,-0.2977252,-0.05327463,0.06484985,-0.10523796,0.19447803,-0.21277666,-0.1647234,0.26620626,0.0155210495,-0.18835068,-0.19946098,-0.018143654,0.19835234
BCAS4,1.2758374,-0.21308064,0.10830164,0.38501024,-0.19325018,0.09993315,0.013422966,0.048077106,-0.0119924545,0.04914403,0.016283989,-0.019872189,-0.23120046,-0.23260713,0.90032816,-0.02477169,-0.2544999,-0.16694069,-0.016129017,-0.20194054
BCAT1,-0.081026554,-0.13291836,0.07582903,-0.42173862,0.109004974,-0.11743307,0.020873547,-0.1714468,0.059998035,-0.32212734,-0.027024746,-0.22366047,0.64270496,0.4737258,-0.9495616,-0.030457973,0.20655394,0.1952529,-0.023269653,-0.06787777
BCAT2,0.72529805,0.14500916,0.044994056,0.119403005,-0.019600987,0.031790137,0.0022262335,-0.01585707,0.01936555,-0.3361091,-0.08997917,0.12528822,-0.19623935,0.16601384,0.72238487,0.023287535,-0.17041117,-1.1328936,-0.03390163,-0.039109588
BCCIP,0.8572236,0.021229684,0.34004042,0.4053332,-0.085585564,-0.32393226,0.017766282,-0.13828576,-0.0048026443,-0.41688457,-0.099781156,0.09940788,0.22507794,0.46336576,0.33164918,0.011115521,-0.016365945,-0.55877084,-0.040023774,-0.29329583
BCDIN3D,-0.08589625,-0.04479885,0.0130832195,0.10976195,-0.061905384,-0.64920783,0.017923117,0.1362145,0.03860593,-0.32318234,0.08377433,-0.00044107437,-0.28129816,-0.30807257,-0.5434811,-0.009179115,-0.004094839,-0.56087375,-0.06159544,0.021255016
BCKDHA,0.11845119,0.16673915,-0.29157773,-0.792747,0.30421913,-0.26911646,-0.07954985,-0.45279264,-0.035273284,-0.027543306,0.053764507,0.06329864,0.18579364,0.34557432,0.36504716,-0.023180246,0.12650155,-0.6734405,-0.010898709,-0.15806705
BCKDHB,1.4995933,-0.15208125,0.08890629,0.38897395,0.17879009,0.058496,-0.043529272,-0.067836046,-0.046277046,-0.003606081,-0.0007212162,0.029355288,-0.044590235,0.051158667,0.20794868,0.0031232834,-0.18020868,0.011259317,-0.024443865,-0.16836524
BCKDK,-0.1365766,0.23271292,-0.07434636,-1.223442,0.3516391,-0.21664947,-0.021879375,-0.56915283,0.0072583556,0.32697022,0.13595968,-0.15503764,0.4550323,0.17169267,0.19658208,-0.025217235,0.15057474,-0.06322861,0.1542911,0.025813282
BCL10,0.3936425,0.08421987,-0.035966933,-0.2476424,0.018776953,-0.8502364,0.046667457,-0.21355301,0.005182624,-0.23990273,0.01257658,-0.115413964,0.09778142,-0.23182482,-0.65668076,-0.0016540289,0.030641258,0.42945445,-0.045897067,-0.0008046627
BCL11A,1.1774957,0.14674664,0.20108223,0.48748255,-0.0172019,0.22552311,0.0021755695,0.052154064,-0.00012516975,-0.0772059,0.11329651,0.0047385693,0.057268143,-0.18537343,0.32762885,-0.08175075,-0.2159059,0.032031536,0.05709231,-0.2780646
BCL11B,1.4342964,-0.11968315,-0.022104383,0.34108758,-0.28844774,0.089266896,-0.02374947,-0.014054775,-0.0048547983,0.032266974,-0.15284121,-0.13921559,-0.15720129,-0.07135272,0.29340684,0.009682775,-0.17504394,-0.17529428,-0.06865859,-0.32953322
BCL2,1.5198618,-0.120569766,0.048810244,0.42796135,-0.16689599,0.17633587,0.00859201,-0.23761839,-0.017824769,-0.15492588,-0.00019967556,-0.084517896,-0.041377544,-0.0022679567,0.18337071,0.0095024705,-0.1748085,0.04029572,-0.027106702,-0.26420504
BCL2A1,-0.65998584,-0.36387593,0.29384047,0.019273162,0.34244806,-0.9649664,0.027288496,-0.03582388,-0.02951175,0.40176362,0.09019971,0.06707311,0.49364865,0.081679225,-0.44501573,0.0077441335,0.12200922,0.86892396,0.1417458,0.25364906
BCL2L1,-0.44523776,-0.11932254,0.0064998865,0.75093806,-0.2988398,1.1898875,-0.018525124,0.625661,-0.0156104565,0.07791817,-0.15886128,0.14563203,0.35439134,0.27893782,0.18386245,0.015026331,0.10983944,0.051924586,0.046116114,0.15951991
BCL2L11,0.9289324,0.5049497,0.030529499,-0.16100109,-0.24957359,-0.27980506,0.02488494,-0.08061528,0.0690192,-0.21422505,-0.23887455,-0.21898448,-0.12385547,0.09136498,-0.22699535,0.08204281,0.1576215,-0.38387775,-0.021260977,-0.33878386
BCL2L12,0.6445974,0.18003583,0.16824305,0.0069886446,0.26370287,0.12331307,-0.06045401,-0.255242,0.011590123,0.0021189451,0.010964274,0.07893145,-0.06557405,0.28963983,0.5078763,0.028634071,-0.16305149,-0.80917776,-0.06887019,-0.03928542
BCL2L13,0.87521076,-0.15015602,0.017940998,0.6241083,0.09330511,-0.07864237,-0.031399727,0.021731853,0.007021427,-0.4371643,0.02245903,-0.011181831,0.3529489,-0.018197298,-0.16007423,0.0017285347,0.15753508,-0.33667684,0.008821487,-0.18458962
BCL2L2,0.6410539,0.20513237,0.044202805,-0.08419454,-0.0041663647,-0.2199322,-0.017514825,-0.23029745,0.007766485,-0.5282998,0.15206933,-0.101956725,0.45048594,-0.020053983,-0.435704,-0.07637739,0.29271245,0.04006028,0.03376305,-0.2463162
BCL3,0.122347474,0.4382342,-0.36382675,-0.68585277,-0.06535947,-0.11797249,0.003373623,-0.5267322,0.026986003,0.40658116,0.10186732,-0.021541119,0.2755165,-0.03746748,0.48066974,-0.057914853,0.16491711,-0.2539605,0.07762611,-0.23923516
BCL6,-0.29021502,-0.0367105,-0.44029355,-0.38042068,0.25322437,-0.73655844,0.023460388,0.07687211,-0.01590848,0.21092296,0.0037908554,0.06272197,0.2693057,0.023454428,-1.0706663,-0.006979704,0.2626896,0.43438077,0.014275312,0.16240478
BCL7A,1.0195047,0.19195676,0.23097992,0.34503043,-0.13670325,0.25411844,0.01770258,-0.04326105,0.044196844,-0.13911128,-0.007984042,-0.091663,0.0043183565,-0.01988411,0.39717555,-0.07698536,-0.283131,-0.40597022,-0.076171756,-0.36513805
BCL7B,0.8787774,0.018320978,0.38361847,-0.06453991,-0.18834174,-0.3035754,-0.026011467,-0.27406514,0.026476383,-0.42970777,0.16145632,-0.25767684,0.025644898,-0.088880956,0.070644915,0.013643503,-0.06432086,-0.7947162,-0.03117621,-0.24236739
BCL7C,0.75724125,-0.013129413,0.45240968,0.35919696,-0.091832876,-0.121980906,-0.0014364719,0.12116432,0.0041112304,-0.15652478,-0.04889965,0.09979755,-0.10864735,-0.029104948,0.9619504,0.038014352,-0.22884011,-0.70365965,0.073225796,0.102984905
BCL9,0.79401433,0.18661395,-0.41169375,-0.40429682,0.0680998,-0.0647828,-0.024934858,-0.2835475,-0.01925081,-0.098299235,-0.11906549,-0.03210008,-0.16354546,-0.28820187,-0.21965131,0.008990616,0.006491691,-0.33160597,-0.1728408,-0.10307282
BCL9L,1.4055133,-0.026583672,-0.13523102,0.11433363,-0.42915344,0.32594204,-0.017893314,0.02733469,0.003707409,-0.073081255,-0.13517141,-0.047194958,-0.046426058,-0.13296604,0.25086403,-0.004464388,-0.06251335,-0.26558042,-0.022554398,-0.14062524
BCLAF1,1.1582613,-0.02952218,0.09346306,0.18355846,0.024268031,-0.3422767,0.023084879,-0.04286766,0.0005662441,-0.09351671,0.015413761,-0.14738739,-0.1067996,-0.12112558,-0.6564498,0.0179708,0.029736757,0.20174682,-0.027632713,-0.22926033
BCLAF3,0.53782463,0.1330018,-0.14867783,0.008189678,0.1142025,-0.8361578,0.003683567,0.20797849,0.033193827,0.16399622,0.005221367,0.08413792,-0.3132701,0.0037133694,-0.9047687,0.085288286,0.18259883,-0.16103983,0.02361536,-0.1427412
BCO2,0.1721263,-0.36236644,-0.117111206,-0.0056624413,0.112092495,-0.75353384,0.109386444,0.11840463,-0.126338,0.2317071,0.10712147,0.38312674,-0.23059249,-0.18336773,0.64587593,-0.008326769,-0.1557231,0.05143881,0.101172924,0.08893609
BCOR,1.2667358,0.16313791,-0.098752975,0.24744868,-0.22720098,0.3786385,0.027108192,-0.123894215,-0.0118255615,-0.197649,-0.13587475,-0.02322197,0.0598073,0.12654066,-0.14696121,-0.025814772,-0.15895367,-0.043332577,-0.016474724,-0.3843546
BCORL1,-0.09752512,0.06982684,-0.6196737,-0.43102503,0.15047789,-0.3057003,0.024569035,-0.02026558,-0.051015615,0.5270839,-0.08640289,0.062465668,0.13651252,-0.16108751,-0.14430285,0.0008225441,0.1106143,0.22615194,0.15714765,-0.15001297
BCR,1.4856815,-0.07592738,-0.103867054,-0.052320957,-0.098496675,0.16566515,-0.014799833,0.017672777,0.008654594,0.07011294,-0.015950203,-0.079482794,0.050494075,0.118628144,0.38979053,0.009471178,-0.042915344,-0.3435254,0.07122159,-0.22099912
BCS1L,0.89749694,-0.039938092,0.20619333,0.18018484,-0.076024234,0.0043049455,-0.002233684,0.10556579,-0.005351007,-0.17408729,-0.10314584,0.2837777,0.045098364,-0.03335476,0.5849242,-0.023928285,-0.22592694,-0.70497245,-0.008971989,0.32858253
BDH1,0.9672582,-0.21343231,0.07194877,0.505203,0.27329922,0.25155544,0.006043911,0.15642047,-0.05272627,0.34313202,0.018674135,0.09804368,-0.020098686,0.078338385,0.5367458,-0.033777952,-0.04287958,-0.14948249,-0.05430579,-0.14533997
BDH2,0.5270779,-0.3054157,0.59722215,0.68787485,0.31841844,-0.6149307,-0.01861304,0.18531531,-0.027120113,-0.17816871,0.05824864,0.17426014,-0.20180494,-0.14733523,0.100405514,-0.05186349,-0.18968582,-0.3676772,-0.06670058,0.08371174
BDP1,1.4286608,-0.008827448,0.24673343,0.39514005,-0.050771236,0.017380714,0.010770559,0.15221834,0.0026106834,-0.044235587,-0.03770888,-0.06648898,0.10731518,0.11610389,-0.58050156,0.0018358231,-0.12938976,0.25280714,0.019955635,-0.21905303
BECN1,0.47331452,0.050869584,-0.116065145,0.017532706,0.033298135,-0.5905658,0.012022257,-0.06797612,0.03476739,-0.39530694,0.013646483,-0.20017922,-0.2142489,-0.28244257,-0.8728951,0.028327107,0.18149316,-0.3818363,-0.042679906,-0.16534328
BEND2,-0.40166378,-5.9604645e-05,-0.33584833,0.23460388,-0.13908148,-0.1545906,0.00859499,0.12054443,0.12000799,-0.43199062,-0.1330018,-0.06096363,-0.16087294,-0.22083521,-0.4902959,0.09154081,0.26819706,0.02245903,0.08509159,-0.4442811
BEND5,0.57888776,-0.0050500035,0.38440675,0.33388883,-0.028567016,-0.085142255,0.054323673,0.21038502,0.04839897,-0.28768778,0.0785619,-0.038167834,-0.23312867,-0.13125241,0.65992624,0.0062972307,-0.23103505,-0.53620636,0.008901954,-0.18577576
BEND7,-0.4914224,0.00564456,-0.4503131,0.10675788,0.44964552,0.071012974,-0.066399574,-0.22802949,0.08766651,-0.18329024,0.103759766,0.13953447,0.33798814,0.033330917,-0.35879612,-0.1003325,0.09333491,0.1352489,-0.09189844,-0.030857325
BEST1,0.3630638,0.2671063,-0.1329422,-0.7499218,0.31434298,-0.29106736,0.044614077,-0.40462017,-0.06277561,0.24106503,0.2037704,-0.05184412,-0.11805296,-0.51484704,-0.0313282,-0.04016161,-0.0043153763,0.3957808,0.039601326,0.29187202
BET1,0.68446696,-0.10098219,0.25103688,0.52000284,-0.09531975,-0.50798655,-0.013577938,0.10031164,0.04745722,-0.44986606,-0.08073747,0.03924668,-0.05337,-0.057336688,-0.43132305,0.0045984983,-0.08845329,-0.47742426,-0.10854602,-0.11332035
BET1L,1.0673463,0.1873672,-0.08787513,-0.34362078,0.119161606,0.16435385,-0.035881996,-0.31757355,0.0093996525,0.07253289,-0.050371885,-0.1561284,-0.063985586,0.027370453,0.31607747,-0.041657686,-0.18213391,-0.4152298,-0.120681524,-0.21104217
BEX2,1.1110783,-0.15520155,0.4413694,0.4938692,0.083598495,0.19946098,-0.02757907,0.1616031,-7.1525574e-05,0.13149679,0.0033646822,0.017872453,0.10840595,-0.23702085,0.59955716,-0.01104176,-0.26526153,-0.05557835,0.11422336,-0.021597743
BEX3,-0.06145239,-0.25217235,-0.21755993,0.5179852,0.18138885,-0.18951893,0.017005205,0.060108304,0.0077307224,-0.3365755,-0.06791353,-0.12360513,-0.10133684,-0.3032148,0.43105483,-0.02528131,0.086176395,-0.06531775,-0.066918135,-0.40504336
