,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
UQCRC1,-0.24845228,0.23880154,0.10106787,-0.49532652,0.12437701,-0.35909414,-0.016488135,-0.2021499,0.04850775,-0.009416044,0.07069111,0.13286546,0.2978079,0.42644516,0.77466965,0.016815215,0.099401176,-0.84498155,0.11791885,-0.046478957
UQCRC2,0.5454898,-0.07930994,0.3727883,0.31309724,0.20467639,-0.5501896,0.009989738,-0.29756427,-0.0011384487,-0.29315352,-0.13683438,0.043988228,0.30593276,0.26192665,0.5318761,0.010973215,-0.14990568,-0.606817,0.0043153763,-0.23115277
UQCRFS1,0.27064607,0.16526654,0.40409788,0.13267025,0.44049993,-0.3784217,0.00333637,-0.23956597,0.03309846,-0.13457313,0.07708743,-0.1315333,0.5155586,0.2927862,-0.10669902,0.0029072165,-0.076112896,-0.53393096,0.045649707,-0.1647383
UQCRH,-0.10191351,-0.018012524,0.6092772,0.69663674,0.30072927,-0.3739655,-0.03001839,0.15415698,-0.009186566,-0.09082556,0.077699125,0.20428002,0.49324483,0.2090007,0.7000178,-0.026257336,-0.044082105,-0.06945431,0.11297464,-0.036536157
UQCRHL,-0.55669546,0.17983913,0.26886463,0.27444363,0.54860115,-0.9503305,-0.057399273,0.21620989,0.0005543232,-0.12526512,0.11087656,0.12254715,0.20307899,-0.12584925,0.19663572,-0.05558729,0.018262863,-0.3168881,0.21774769,-0.02400875
UQCRQ,-0.4058376,-0.033004582,0.60742646,0.53377,0.30446947,-0.6483361,0.03723353,0.17964691,0.007085502,0.04437715,0.015191734,0.14270097,0.27973503,0.096707046,0.43475628,0.006516278,-0.03568232,-0.16474724,0.035475194,0.2250433
URB1,1.519981,-0.06597936,-0.012436509,0.28315783,-0.3341645,0.30100346,-0.0114917755,0.10359883,0.0014364719,-0.13695657,-0.13493896,0.0315845,-0.073468685,0.061678886,0.09185672,0.00090897083,-0.16353428,-0.432086,-0.05302131,-0.15276968
URB1-AS1,0.3340125,0.06457567,0.51091313,0.47441125,0.33334494,0.054198503,0.020879507,0.21012425,0.017952919,0.19760132,0.22276044,-0.24849176,0.21864176,0.04042387,-0.1899898,0.067323446,-0.041991472,-0.3703475,-0.022572279,0.08704066
URB2,1.3796955,0.033915043,0.10511875,0.31980872,-0.3379345,0.2655387,0.0041902065,-0.1121819,-0.039952993,-0.4266858,-0.0775516,-0.22639334,-0.12856126,0.14540255,-0.5426228,0.0064581633,-0.0054866076,-0.44320226,-0.121599436,-0.39619803
URGCP,1.1395321,0.006210804,-0.11883825,0.20804554,-0.33725947,-0.01258105,-0.0075414777,-0.0065281987,-0.00086277723,-0.3543958,-0.12151748,0.14682561,-0.14480501,-0.03823191,0.4712209,-0.03567189,-0.08754283,-0.7011354,-0.106956065,-0.15335828
