,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16
TIGIT,0.026753545,0.35527945,0.032699108,0.44114888,-0.11449456,-0.4123628,0.104922056,0.24809241,-0.038203597,-0.23573339,0.13737977,0.18724799,-0.214383,0.34004748,0.8629978,0.17620623
TIMD4,0.2612859,0.049498677,0.1098305,0.2332449,0.024849176,-0.19758642,0.014904141,0.10975003,-0.05954504,-0.19552708,0.013333559,0.2576232,0.05888641,-0.110551715,0.6106049,0.10716319
TIMELESS,0.14061034,0.2459228,-0.06787479,0.34330487,-0.11238754,-0.23291409,0.21787882,0.30423105,0.20832717,-0.36494732,0.15736818,0.11046529,-0.10135472,0.07032752,0.9857148,0.29512346
TIMM10,0.27051568,0.005376339,0.28179586,0.040265918,-0.21092296,0.19184053,-0.025770068,0.14546812,-0.048041344,0.21797717,0.08371472,-0.035008788,0.13379753,-0.042194128,0.7184893,0.7286757
TIMM10B,-0.030618906,0.3442943,-0.05570054,0.56326985,0.034970045,-0.18274188,-0.06739497,0.18565059,-0.075381994,-0.006264448,0.05825162,-0.20059943,-0.32461286,0.3896892,0.98938346,0.19497275
TIMM13,0.35155118,0.0021457672,0.123134255,-0.18915534,-0.103875995,0.039181113,0.13998598,0.25300235,-0.25284737,0.7114306,-0.047807395,-0.09690374,-0.1292035,0.00020414591,0.57228357,0.80726296
TIMM17A,0.08631721,-0.09220429,0.12892857,-0.10788441,-0.1293663,-0.109242275,-0.45252517,-0.044396147,-0.19339994,0.26480818,0.0033985823,-0.09454638,0.08958615,0.10017678,0.92366713,0.27056336
TIMM17B,0.6414175,0.55141896,0.12848377,-0.057001412,0.13876855,0.23970008,-0.042410195,0.44126064,-0.4297942,0.75089633,-0.38141385,0.16438514,-0.32718107,-0.12790412,-0.22074133,0.24261177
TIMM21,-0.18591583,-0.21293461,0.10001361,-0.14035106,-0.0898391,0.00526011,0.017607212,0.019568205,-0.054876506,0.28995275,0.076538324,-0.23756325,0.114032626,-0.031769276,1.1121795,0.39051175
TIMM22,-0.17407835,0.6204426,0.25999397,-0.076676905,-0.38621873,-0.29733628,0.14015138,0.495252,-0.12369007,0.52567124,-0.03669709,-0.045335293,-0.18020868,-0.038452446,0.8860558,0.44476986
TIMM23,0.2467364,-0.17584339,0.16384795,-0.40471107,-0.12628064,-0.122814626,-0.2251871,0.0494048,-0.062090904,0.55493045,-0.069732964,0.1446113,0.050925463,-0.113566965,0.71409345,0.9532973
TIMM23B,0.052183867,0.45452714,-0.11891723,0.50716996,0.063329935,-0.18854737,0.10691285,0.074476,0.090932846,0.004386902,0.087064505,0.22303462,-0.298208,0.2831161,1.1143923,-0.05657673
TIMM29,0.007633865,0.44210106,-0.012263656,0.032785535,0.04492849,-0.24641007,0.22169948,0.37366748,0.11033118,0.31708032,-0.08099079,0.09037852,0.066152215,0.051923096,1.1966095,0.2560988
