pc,eigenvalue,var_explained,cum_var
313,1.5863196,0.00013929523,0.95954007
314,1.5847119,0.00013915406,0.95967925
315,1.5797297,0.00013871657,0.95981795
316,1.5773699,0.00013850935,0.95995647
317,1.5729754,0.00013812346,0.9600946
318,1.567254,0.00013762107,0.9602322
319,1.563121,0.00013725815,0.96036947
320,1.5595369,0.00013694343,0.96050644
321,1.5584512,0.00013684809,0.9606433
322,1.5576935,0.00013678156,0.9607801
323,1.548176,0.00013594583,0.96091604
324,1.5430584,0.00013549645,0.9610515
325,1.5393717,0.00013517271,0.9611867
326,1.5356177,0.00013484308,0.96132153
327,1.5338695,0.00013468956,0.96145624
328,1.5287949,0.00013424396,0.96159047
329,1.5282866,0.00013419933,0.96172464
330,1.5238835,0.00013381269,0.96185845
331,1.5205022,0.00013351579,0.96199197
332,1.5143896,0.00013297904,0.96212494
333,1.5033324,0.00013200809,0.96225697
334,1.501143,0.00013181585,0.9623888
335,1.4985691,0.00013158983,0.9625204
336,1.4963608,0.00013139591,0.9626518
337,1.4932022,0.00013111856,0.9627829
338,1.4909554,0.00013092127,0.9629138
339,1.4864668,0.00013052711,0.96304435
340,1.4852289,0.00013041841,0.96317476
341,1.4841446,0.0001303232,0.96330506
342,1.4762294,0.00012962817,0.9634347
343,1.4747734,0.00012950032,0.9635642
344,1.4693815,0.00012902686,0.96369326
345,1.4681138,0.00012891553,0.9638222
346,1.464135,0.00012856616,0.96395075
347,1.4622824,0.00012840348,0.96407914
348,1.4590603,0.00012812055,0.9642073
349,1.4513799,0.00012744612,0.9643347
350,1.4502817,0.0001273497,0.9644621
351,1.4440509,0.00012680257,0.9645889
352,1.4413962,0.00012656946,0.9647154
353,1.4369826,0.0001261819,0.9648416
354,1.4324967,0.00012578799,0.96496737
355,1.429237,0.00012550176,0.9650929
356,1.4243433,0.00012507204,0.96521795
357,1.4233292,0.000124983,0.96534294
358,1.4201114,0.00012470043,0.96546763
359,1.4129001,0.0001240672,0.9655917
360,1.4125271,0.00012403444,0.96571577
361,1.410697,0.00012387375,0.9658396
362,1.4073664,0.00012358128,0.9659632
363,1.4034911,0.000123241,0.96608645
364,1.3999561,0.00012293059,0.96620935
365,1.3974818,0.00012271332,0.9663321
366,1.3968337,0.0001226564,0.96645474
367,1.3884662,0.00012192166,0.9665767
368,1.3870134,0.00012179409,0.96669847
369,1.3818722,0.00012134263,0.9668198
370,1.376891,0.000120905235,0.9669407
371,1.3749334,0.00012073333,0.96706146
372,1.3722962,0.00012050176,0.967182
373,1.3692799,0.000120236895,0.9673022
374,1.3631791,0.00011970119,0.9674219
375,1.3615392,0.00011955719,0.96754146
376,1.3577901,0.00011922798,0.96766067
377,1.3572505,0.00011918059,0.9677799
378,1.353046,0.00011881139,0.96789867
379,1.3495978,0.00011850861,0.96801716
380,1.3423532,0.00011787246,0.96813506
381,1.3389443,0.00011757312,0.96825266
