pc,var_explained,cum_var,direction,library,top_term,top_adj_p,combined_score
4,0.05736606940627098,0.6651208996772766,pos,Reactome_2022,Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,2.228567397768775e-22,1225.8690937331464
4,0.05736606940627098,0.6651208996772766,pos,WikiPathway_2023_Human,Electron Transport Chain OXPHOS System In Mitochondria WP111,1.1976822211819055e-22,1721.4285419525197
4,0.05736606940627098,0.6651208996772766,pos,MSigDB_Hallmark_2020,Oxidative Phosphorylation,2.2196302142621387e-21,902.2753230918444
4,0.05736606940627098,0.6651208996772766,pos,ChEA_2022,E2F1 18555785 ChIP-Seq MESCs Mouse,1.1237520364880858e-18,208.15905297894255
4,0.05736606940627098,0.6651208996772766,pos,TRRUST_Transcription_Factors_2019,AATF mouse,0.5375164075629072,56.46591775214154
4,0.05736606940627098,0.6651208996772766,pos,Human_Phenotype_Ontology,Macrocytic anemia (HP:0001972),0.006712074992352744,163.95646784574072
4,0.05736606940627098,0.6651208996772766,neg,GO_Biological_Process_2023,Regulation Of Intracellular Signal Transduction (GO:1902531),7.790649661657459e-05,101.03387487149203
4,0.05736606940627098,0.6651208996772766,neg,GO_Molecular_Function_2023,GTPase Regulator Activity (GO:0030695),1.6389771925394835e-09,169.4600206986399
4,0.05736606940627098,0.6651208996772766,neg,GO_Cellular_Component_2023,Intracellular Membrane-Bounded Organelle (GO:0043231),6.875889099319666e-05,30.55055994379828
4,0.05736606940627098,0.6651208996772766,neg,KEGG_2021_Human,Endocytosis,0.0015998842700860045,60.26830560762853
4,0.05736606940627098,0.6651208996772766,neg,Reactome_2022,Signal Transduction R-HSA-162582,4.462842567983821e-09,81.63759997251186
4,0.05736606940627098,0.6651208996772766,neg,WikiPathway_2023_Human,EGF EGFR Signaling Pathway WP437,0.0013570172929110536,85.1868217675646
4,0.05736606940627098,0.6651208996772766,neg,MSigDB_Hallmark_2020,Mitotic Spindle,0.0012599030636588088,56.32800551313
4,0.05736606940627098,0.6651208996772766,neg,ChEA_2022,TCF7 22412390 ChIP-Seq EML Mouse,4.7482850176160644e-18,241.98850343908578
4,0.05736606940627098,0.6651208996772766,neg,TRRUST_Transcription_Factors_2019,HDAC7 human,0.2830170111313168,89.6077061786221
4,0.05736606940627098,0.6651208996772766,neg,Human_Phenotype_Ontology,Abnormality of the fingertips (HP:0001211),0.08073783314192509,330.92884130781977
5,0.03003801219165325,0.6951588988304138,pos,GO_Biological_Process_2023,Glycolytic Process (GO:0006096),5.055732130601907e-07,859.036683068409
5,0.03003801219165325,0.6951588988304138,pos,GO_Molecular_Function_2023,GTPase Activity (GO:0003924),0.000484968786336902,68.8889108589702
5,0.03003801219165325,0.6951588988304138,pos,GO_Cellular_Component_2023,Tertiary Granule (GO:0070820),1.2256615891484127e-09,299.6818207717856
5,0.03003801219165325,0.6951588988304138,pos,KEGG_2021_Human,Glycolysis / Gluconeogenesis,4.327123666795137e-06,283.06785299111056
5,0.03003801219165325,0.6951588988304138,pos,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,9.780929590792014e-10,178.5229394862465
5,0.03003801219165325,0.6951588988304138,pos,WikiPathway_2023_Human,Aerobic Glycolysis WP4629,1.250589966173788e-11,6353.676912469091
5,0.03003801219165325,0.6951588988304138,pos,MSigDB_Hallmark_2020,Hypoxia,4.1310803230035674e-14,444.0647994685546
5,0.03003801219165325,0.6951588988304138,pos,ChEA_2022,SPI1 23547873 ChIP-Seq NB4 Human,1.1797758912483107e-08,75.37604864388445
5,0.03003801219165325,0.6951588988304138,pos,TRRUST_Transcription_Factors_2019,HIF1A human,0.0029688727039065407,102.0059034523628
5,0.03003801219165325,0.6951588988304138,pos,Human_Phenotype_Ontology,Cholecystitis (HP:0001082),0.01384872681462983,593.3776232841345
5,0.03003801219165325,0.6951588988304138,neg,GO_Biological_Process_2023,Regulation Of Lamellipodium Assembly (GO:0010591),0.19220956395979397,112.12252948199962
5,0.03003801219165325,0.6951588988304138,neg,GO_Molecular_Function_2023,Histone H3 Acetyltransferase Activity (GO:0010484),0.061489652360478805,248.5846578261998
5,0.03003801219165325,0.6951588988304138,neg,GO_Cellular_Component_2023,Spectrin-Associated Cytoskeleton (GO:0014731),0.1518082272104548,248.09171029141777
5,0.03003801219165325,0.6951588988304138,neg,KEGG_2021_Human,Mitophagy,0.8778334084779751,16.10401456697529
5,0.03003801219165325,0.6951588988304138,neg,Reactome_2022,Regulation Of FOXO Transcriptional Activity By Acetylation R-HSA-9617629,0.7707573186662487,136.4820277236255
5,0.03003801219165325,0.6951588988304138,neg,WikiPathway_2023_Human,Androgen Receptor Signaling Pathway WP138,0.3801523852525439,38.93220216228463
5,0.03003801219165325,0.6951588988304138,neg,MSigDB_Hallmark_2020,heme Metabolism,5.791225337153221e-11,288.5693815744541
5,0.03003801219165325,0.6951588988304138,neg,ChEA_2022,GATA1 30185409 ChIP-Seq K562 Mouse BoneMarrow Leukemia,1.8136615994852965e-06,81.78086682243978
