pc,var_explained,cum_var,direction,best_term_overall,best_library_overall,best_adj_p_overall,best_combined_overall
39,0.0014166790060698986,0.8707561492919922,neg,heme Metabolism,MSigDB_Hallmark_2020,7.177451676471247e-08,173.54680844809113
40,0.0013901385245844722,0.8721463084220886,pos,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,1.5201236987823995e-11,1002.5819712869597
40,0.0013901385245844722,0.8721463084220886,neg,Interferon Alpha Response,MSigDB_Hallmark_2020,0.00021127261072749443,111.15933739653123
41,0.001370576792396605,0.873516857624054,pos,Hematopoietic cell lineage,KEGG_2021_Human,7.597015883424131e-07,250.72834432725108
41,0.001370576792396605,0.873516857624054,neg,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,5.616654193964805e-06,370.7671899534008
42,0.0013255339581519365,0.8748424053192139,pos,Interferon Alpha Response,MSigDB_Hallmark_2020,1.8869523280241065e-06,201.17786729334037
42,0.0013255339581519365,0.8748424053192139,neg,heme Metabolism,MSigDB_Hallmark_2020,2.903916018324443e-15,505.96947902282244
43,0.001266686012968421,0.8761090636253357,pos,IL-2/STAT5 Signaling,MSigDB_Hallmark_2020,0.0038003336453092747,41.85326872713533
43,0.001266686012968421,0.8761090636253357,neg,Myogenesis,MSigDB_Hallmark_2020,6.142208690920083e-11,288.5693815744541
44,0.001225453452207148,0.8773345351219177,pos,heme Metabolism,MSigDB_Hallmark_2020,6.308652260691361e-07,143.16657037615133
44,0.001225453452207148,0.8773345351219177,neg,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,5.047881132646281e-10,804.3029858101831
45,0.0012194628361612558,0.8785539865493774,pos,Attenuation Phase R-HSA-3371568,Reactome_2022,3.3481552328383003e-15,3575.4458801364594
45,0.0012194628361612558,0.8785539865493774,neg,Huntington disease,KEGG_2021_Human,6.967693475720099e-10,209.9169134096288
46,0.0011547752656042576,0.8797087669372559,pos,Spliceosome,KEGG_2021_Human,0.003969930333357171,70.89917671227217
46,0.0011547752656042576,0.8797087669372559,neg,Interferon Alpha Response,MSigDB_Hallmark_2020,0.0018385660896796194,78.04105718582815
47,0.0011411423329263926,0.8808498978614807,pos,Interferon Gamma Response,MSigDB_Hallmark_2020,0.007410650608353085,41.45060631295679
47,0.0011411423329263926,0.8808498978614807,neg,PARP1 human,TRRUST_Transcription_Factors_2019,0.007993110224489192,176.26230732641343
48,0.001110351295210421,0.8819602727890015,pos,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,1.598770157699449e-11,1002.5819712869597
48,0.001110351295210421,0.8819602727890015,neg,Receptor-Mediated Endocytosis Of Virus By Host Cell (GO:0019065),GO_Biological_Process_2023,0.11013238942712017,391.61775629527256
49,0.0010564891854301095,0.8830167651176453,pos,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,1.3799418355465146e-08,634.6788287785718
49,0.0010564891854301095,0.8830167651176453,neg,KLF4 human,TRRUST_Transcription_Factors_2019,0.006733803879090731,144.26943679538044
50,0.0010237345704808831,0.8840404748916626,pos,Response To Unfolded Protein (GO:0006986),GO_Biological_Process_2023,0.0003325869654283126,294.335216979438
50,0.0010237345704808831,0.8840404748916626,neg,Glomerular Filtration (GO:0003094),GO_Biological_Process_2023,0.006986250836930292,536.2469711319385
51,0.0009769612224772573,0.885017454624176,pos,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,0.00022755987419699806,72.93349778920441
