pc,var_explained,cum_var,best_continuous_var,best_continuous_rho,best_categorical_var,best_categorical_eta2
85,0.00047408530372194946,0.9077398180961609,DTHHRDY,0.052629640284743255,SMNABTCH,0.19445993117027174
86,0.00046762064448557794,0.9082074165344238,SMRDLGTH,0.0355336756178016,SMNABTCH,0.19457129976527784
87,0.00046433438546955585,0.9086717367172241,SMRDLGTH,0.04520909617866966,SMNABTCH,0.13872113320865934
88,0.0004579466476570815,0.9091296792030334,SMRIN,0.043978380949779836,SMNABTCH,0.18090537041173435
89,0.0004533681785687804,0.9095830321311951,SMTSISCH,0.040688673295082765,SMNABTCH,0.22596176554970876
90,0.0004456652677617967,0.9100286960601807,SMRDLGTH,0.051853586796413685,SMNABTCH,0.14962853922136463
91,0.0004376517317723483,0.9104663729667664,AGE_mid,0.06724473865036792,SMNABTCH,0.20643368050011382
92,0.000432920700404793,0.91089928150177,SMRIN,0.05001472278059926,SMNABTCH,0.15866587345182948
93,0.00042580821900628507,0.9113250970840454,AGE_mid,0.0876020173348866,SMNABTCH,0.13955971595289576
94,0.00042059269617311656,0.9117456674575806,SMRIN,0.0637771692708028,SMNABTCH,0.22745280095110373
95,0.00041655797394923866,0.9121622443199158,DTHHRDY,0.0416666572940295,SMNABTCH,0.17993291180692952
96,0.0004114004841540009,0.9125736355781555,AGE_mid,0.06009922099444707,SMNABTCH,0.18753998630503055
97,0.00040765656740404665,0.9129812717437744,SMRDLGTH,0.04586706425489326,SMNABTCH,0.1677787663241127
98,0.00040166376857087016,0.9133829474449158,SMRDLGTH,0.07359910273156559,SMNABTCH,0.2061623332777808
99,0.0003963274066336453,0.9137792587280273,SMRIN,0.027689455115088232,SMNABTCH,0.14880736354139185
100,0.0003852779627777636,0.9141645431518555,SMRDLGTH,0.06235980171486008,SMNABTCH,0.2907843966940323
101,0.00038123424747027457,0.9145457744598389,SMRIN,0.049646270144283425,SMNABTCH,0.16358304275297797
102,0.0003743543929886073,0.9149201512336731,AGE_mid,0.08379898249456609,SMNABTCH,0.16013712456569348
103,0.0003734356432687491,0.9152935743331909,SMRDLGTH,0.06867497931045419,SMNABTCH,0.156230119363524
104,0.0003709320444613695,0.9156644940376282,AGE_mid,0.06122893439587946,SMNABTCH,0.16343310706855882
105,0.0003644324897322804,0.9160289168357849,SMRDLGTH,0.04209383666044298,SMNABTCH,0.1467819188533799
106,0.00036261408240534365,0.9163915514945984,SMRDLGTH,0.057260329801435084,SMNABTCH,0.12594585226299823
107,0.00035810109693557024,0.9167496562004089,AGE_mid,0.04203414008714631,SMNABTCH,0.18517968754145872
108,0.0003537410229910165,0.9171034097671509,AGE_mid,0.11759604604356191,SMNABTCH,0.12886076944047986
109,0.00035070773446932435,0.9174541234970093,AGE_mid,0.10183679640960831,SMNABTCH,0.21083436663487629
110,0.0003488996298983693,0.9178030490875244,AGE_mid,0.0690019782729305,SMNABTCH,0.18272477529338219
111,0.0003454996913205832,0.9181485772132874,SMRDLGTH,0.08641686916313152,SMNABTCH,0.22775803406246906
112,0.00034125198726542294,0.9184898138046265,AGE_mid,0.024943071310995973,SMNABTCH,0.1796182634291464
113,0.0003356620145495981,0.9188254475593567,AGE_mid,0.035037025204462946,SMNABTCH,0.10602604566060841
114,0.00033391136093996465,0.9191593527793884,SMRDLGTH,0.09705127819509547,SMNABTCH,0.17456451022761688
115,0.00032978662056848407,0.9194891452789307,AGE_mid,0.044881023639743674,SMNABTCH,0.17170112433818063
116,0.0003275810449849814,0.9198167324066162,SMRIN,0.0889160562716706,SMNABTCH,0.28888359474393627
117,0.00031973994919098914,0.9201364517211914,SMTSISCH,0.04648390007885904,SMNABTCH,0.15957145079273258
118,0.0003189965500496328,0.9204554557800293,AGE_mid,0.12357232279425512,SMNABTCH,0.22926348406592503
119,0.00031454424606636167,0.920769989490509,AGE_mid,0.08527984272739858,SMNABTCH,0.17148347020732255
120,0.0003112767299171537,0.9210812449455261,SMRIN,0.05026927276523396,SMNABTCH,0.2004451965053339
121,0.00030956475529819727,0.9213908314704895,SMRDLGTH,0.07217767236423053,SMNABTCH,0.19617699523122623
122,0.00030863803112879395,0.9216994643211365,AGE_mid,0.10502428853467195,SMNABTCH,0.18012438995699057
123,0.0003067317884415388,0.9220061898231506,AGE_mid,0.06083493599272321,SMNABTCH,0.21080682608926476
124,0.0003027700586244464,0.9223089814186096,SMRDLGTH,0.08062817568986232,SMNABTCH,0.14673014703045137
125,0.000300444575259462,0.9226094484329224,AGE_mid,0.0675210819089245,SMNABTCH,0.18359059886104268
126,0.00029802191420458257,0.9229074716567993,SMRIN,0.05035281220114264,SMNABTCH,0.25678675102227655
127,0.0002967962936963886,0.923204243183136,SMRDLGTH,0.048894156050905975,SMNABTCH,0.12431583532793156
128,0.0002963932929560542,0.923500657081604,AGE_mid,0.08131065266393375,SMNABTCH,0.1294006822932834
129,0.00029201857978478074,0.9237926602363586,AGE_mid,0.09926208898689198,SMNABTCH,0.18954213190938984
130,0.00028875237330794334,0.9240813851356506,AGE_mid,0.052974743725220416,SMNABTCH,0.12496880847922331
131,0.0002872574550565332,0.9243686199188232,SMRDLGTH,0.013722362875027344,SMNABTCH,0.1889780263454968
132,0.00028645124984905124,0.9246550798416138,SMRIN,0.06199787090909706,SMNABTCH,0.12005279055712723
133,0.00028354721143841743,0.9249386191368103,DTHHRDY,0.045211531014839317,SMNABTCH,0.14058176195169114
134,0.0002825663541443646,0.9252212047576904,AGE_mid,0.0904594391464178,SMNABTCH,0.1814453241398761
135,0.00028215281781740487,0.9255033731460571,AGE_mid,0.053124664007744384,SMNABTCH,0.16530972985614983
136,0.00028039098833687603,0.9257837533950806,SMRIN,0.05808019262589536,SMNABTCH,0.10818872155561202
137,0.0002784566313493997,0.9260622262954712,SMRIN,0.05650186210334353,SMNABTCH,0.18772134001565646
138,0.00027525797486305237,0.926337480545044,AGE_mid,0.13866878218175474,SMNABTCH,0.20057851371084767
139,0.00027309340657666326,0.9266105890274048,AGE_mid,0.028902795007007088,SMNABTCH,0.1511030258995697
140,0.0002713488647714257,0.9268819093704224,SMRIN,0.06140334105160006,SMNABTCH,0.20645124069469084
141,0.000268845004029572,0.9271507263183594,SMRDLGTH,0.04165201109725882,SMGEBTCH,0.0812300470244468
142,0.00026808641268871725,0.9274188280105591,AGE_mid,0.0574914896791632,SMNABTCH,0.12692996154104386
143,0.00026679577422328293,0.9276856184005737,SMTSISCH,0.06824008707988118,SMNABTCH,0.21058467911497708
144,0.0002659425954334438,0.9279515743255615,SMRDLGTH,0.0720113165195225,SMGEBTCH,0.13691020939859402
145,0.00026254175463691354,0.9282141327857971,SMRIN,0.06004490608712521,SMNABTCH,0.15139635516835076
146,0.00025994516909122467,0.9284740686416626,AGE_mid,0.034052655470246114,SMNABTCH,0.1900440807710014
147,0.00025936486781574786,0.9287334084510803,SMRDLGTH,0.0508104880729072,SMNABTCH,0.11025637349784392
148,0.0002582424785941839,0.9289916753768921,SMTSISCH,0.05423410557180712,SMGEBTCH,0.13691162634523732
149,0.00025753999943844974,0.9292492270469666,AGE_mid,0.05370954340043488,SMNABTCH,0.16800192017571416
150,0.00025608818395994604,0.9295052886009216,AGE_mid,0.0835085480783494,SMNABTCH,0.1564912246406579
151,0.00025562095106579363,0.9297609329223633,SMRIN,0.040283439702067006,SMNABTCH,0.15702003955126562
152,0.00025414227275177836,0.9300150871276855,SMTSISCH,0.01525194157030567,SMNABTCH,0.13419246312421027
153,0.00025255573564209044,0.9302676320075989,SMRDLGTH,0.07499388539181358,SMGEBTCH,0.1244213215119804
154,0.0002510493213776499,0.9305186867713928,DTHHRDY,0.03163306595706078,SMNABTCH,0.14843798518216858
155,0.00025052213459275663,0.9307692050933838,AGE_mid,0.042420213719584314,SMNABTCH,0.14565758434793305
156,0.0002466018486302346,0.9310157895088196,AGE_mid,0.055827227609708346,SMNABTCH,0.12868464379166117
157,0.0002451474720146507,0.9312609434127808,SMRDLGTH,0.020330116941848893,SMNABTCH,0.1776806867713658
158,0.00024445701274089515,0.9315053820610046,SMRIN,0.06683572395906189,SMNABTCH,0.23357075662667642
159,0.00024312765162903816,0.9317485094070435,AGE_mid,0.05333240621157277,SMNABTCH,0.136411703984266
160,0.0002424698614049703,0.9319909811019897,SMTSISCH,0.0193843336645811,SMNABTCH,0.1738424999250692
161,0.0002407150313956663,0.9322317242622375,SMRDLGTH,0.055575273558226446,SMNABTCH,0.2200849807222201
162,0.00023932319891173393,0.9324710369110107,SMRIN,0.04593517306785745,SMNABTCH,0.16410103809248036
163,0.00023827262339182198,0.9327093362808228,SMRDLGTH,0.05571531109711604,SMNABTCH,0.12047542375623337
164,0.00023530577891506255,0.932944655418396,AGE_mid,0.020905340411425437,SMNABTCH,0.20011761366287245
165,0.0002350151917198673,0.9331796765327454,SMTSISCH,0.05583638144964842,SMNABTCH,0.22317639982455975
166,0.00023405966931022704,0.9334137439727783,SMRIN,0.044351437939289584,SMNABTCH,0.20388288867678983
167,0.00023291703837458044,0.9336466789245605,SMRIN,0.0327216536221573,SMNABTCH,0.13127116575762704
168,0.0002316106838406995,0.9338783025741577,DTHHRDY,0.020418803352107655,SMNABTCH,0.09794577821849317
169,0.00023031746968626976,0.9341086149215698,SMRIN,0.05703353152176999,SMNABTCH,0.16936437441808594
170,0.00022854114649817348,0.9343371391296387,AGE_mid,0.08288635722717085,SMNABTCH,0.1710217516653298
171,0.0002280876215081662,0.9345652461051941,AGE_mid,0.044926729574205314,SMNABTCH,0.18685312315036218
172,0.00022607851133216172,0.9347913265228271,SMRIN,0.07306634165978362,SMNABTCH,0.1418146462208613
173,0.00022553675808012486,0.9350168704986572,SMRDLGTH,0.0997788848550804,SMNABTCH,0.18492432619470198
174,0.00022492014977615327,0.9352418184280396,AGE_mid,0.053964545179184864,SMNABTCH,0.17375840437695725
175,0.00022438135056290776,0.9354661703109741,DTHHRDY,0.021583562096918373,SMNABTCH,0.20733766577507964
176,0.0002230615064036101,0.9356892108917236,AGE_mid,0.10234552333231176,SMNABTCH,0.1511100174064437
177,0.00022220883693080395,0.9359114170074463,SMRDLGTH,0.04675696607798568,SMNABTCH,0.20514550493639322
178,0.0002208960213465616,0.9361323118209839,AGE_mid,0.0455159326639898,SMNABTCH,0.2313060277833796
179,0.0002203563490184024,0.9363526701927185,SMTSISCH,0.03180595072341348,SMNABTCH,0.16262336636771732
180,0.00021916083642281592,0.9365718364715576,SMRDLGTH,0.07139183957216876,SMNABTCH,0.1453612553545954
181,0.00021889667550567538,0.9367907047271729,SMRDLGTH,0.05844390470921531,SMGEBTCH,0.1123962077175418
182,0.0002165601763408631,0.9370072484016418,SMTSISCH,0.033936218205815494,SMNABTCH,0.26003831268754657
183,0.0002159329887945205,0.9372231960296631,DTHHRDY,0.0508532117394366,SMNABTCH,0.09985667464777097
184,0.0002148162602679804,0.9374380111694336,AGE_mid,0.053936916875191455,SMNABTCH,0.12139297342400238
185,0.00021446915343403816,0.9376524686813354,SMRDLGTH,0.041210624179458824,SMNABTCH,0.16873439691110162
186,0.00021316677157301456,0.9378656148910522,AGE_mid,0.05863358402937728,SMNABTCH,0.14092768375058906
187,0.00021227206161711365,0.9380778670310974,DTHHRDY,0.05139887303238921,SMNABTCH,0.19459242630665066
188,0.00021147321967873722,0.9382893443107605,AGE_mid,0.06555581103314564,SMNABTCH,0.21963400019210355
189,0.00021069632202852517,0.9385000467300415,SMRIN,0.053348158514321585,SMNABTCH,0.1657272167008534
190,0.00020940304966643453,0.9387094378471375,AGE_mid,0.05940009483118924,SMNABTCH,0.11062801690733479
191,0.0002089642803184688,0.93891841173172,SMTSISCH,0.016608180303018916,SMNABTCH,0.28024296103664215
192,0.00020870787557214499,0.9391271471977234,SMRDLGTH,0.06970897614223959,SMNABTCH,0.17952907247926553
193,0.00020696419232990593,0.9393340945243835,DTHHRDY,0.04365408264363327,SMNABTCH,0.19567244088204905
194,0.00020682303875219077,0.9395409226417542,DTHHRDY,0.05818233828818614,SMNABTCH,0.20574915976271857
195,0.00020636602130252868,0.9397472739219666,AGE_mid,0.09341390928993633,SMNABTCH,0.1261472847527567
196,0.0002046607987722382,0.9399519562721252,AGE_mid,0.07502679123334183,SMNABTCH,0.16623299695239918
197,0.0002038912643911317,0.9401558637619019,SMRDLGTH,0.047471190424726396,SMNABTCH,0.12927786081867962
198,0.00020249410590622574,0.9403583407402039,SMRDLGTH,0.03599249868962153,SMNABTCH,0.12277923707377689
199,0.00020133798534516245,0.9405596852302551,SMRIN,0.03542773753480889,SMNABTCH,0.1598218934760623
200,0.00020062817202415317,0.9407603144645691,SMRDLGTH,0.0598736693388492,SMNABTCH,0.19708586158844368
201,0.00020048031001351774,0.9409608244895935,SMRDLGTH,0.03931830799223976,SMNABTCH,0.21244287710438037
202,0.00019970261200796813,0.9411605000495911,AGE_mid,0.028424623013349554,SMNABTCH,0.19623839898321246
203,0.00019883803906850517,0.9413593411445618,AGE_mid,0.05196264933721421,SMNABTCH,0.17385383918511835
204,0.0001977229694603011,0.9415570497512817,SMRDLGTH,0.02644253070862011,SMNABTCH,0.10890592164530306
205,0.00019731512293219566,0.9417543411254883,SMRDLGTH,0.04280466150545654,SMNABTCH,0.2207509162792356
206,0.0001964437833521515,0.941950798034668,SMTSISCH,0.020070777063345598,SMNABTCH,0.18272797684363218
207,0.0001953093451447785,0.9421461224555969,SMTSISCH,0.04241869060075497,SMNABTCH,0.16345489297775906
208,0.00019427546067163348,0.9423403739929199,SMRDLGTH,0.0257871945047014,SMNABTCH,0.15215994671738572
209,0.00019364799663890153,0.9425340294837952,AGE_mid,0.06343694653887158,SMNABTCH,0.16093365293765757
210,0.0001928517740452662,0.9427269101142883,AGE_mid,0.03196640538190673,SMNABTCH,0.13106308471528097
211,0.0001918799534905702,0.9429187774658203,AGE_mid,0.1056534045274356,SMNABTCH,0.12049604456162491
212,0.0001913586020236835,0.9431101083755493,AGE_mid,0.04307043031766462,SMNABTCH,0.22397834491422783
213,0.00019126730330754071,0.9433013796806335,SMRDLGTH,0.04171089924008084,SMNABTCH,0.1691266815329159
214,0.00019030735711567104,0.9434916973114014,AGE_mid,0.044250341962795585,SMNABTCH,0.24021018624813986
215,0.00018930004443973303,0.943681001663208,AGE_mid,0.09661013311525944,SMNABTCH,0.20152884279571562
216,0.00018853713118005544,0.9438695311546326,SMRIN,0.052038654950665675,SMNABTCH,0.14338994956773354
217,0.00018770898168440908,0.9440572261810303,AGE_mid,0.010280306442590793,SMNABTCH,0.1500373587113219
218,0.00018634085427038372,0.9442435503005981,SMRIN,0.048822914371129296,SMNABTCH,0.1885924715215658
219,0.00018618532340042293,0.9444297552108765,SMRDLGTH,0.03226127139070352,SMNABTCH,0.19993028594374168
220,0.0001857931783888489,0.9446155428886414,DTHHRDY,0.02930514785222171,SMNABTCH,0.17508967131880504
221,0.00018542598991189152,0.9448009729385376,AGE_mid,0.0361178651718913,SMNABTCH,0.12149556592224262
222,0.00018482925952412188,0.9449858069419861,SMRDLGTH,0.034616797103584014,SMNABTCH,0.2103772223969052
223,0.00018344077398069203,0.9451692700386047,SMRIN,0.029594022038122555,SMNABTCH,0.15667856685283352
224,0.00018280904623679817,0.9453520774841309,AGE_mid,0.029399767254602593,SMNABTCH,0.15094226471654887
225,0.00018267508130520582,0.9455347657203674,AGE_mid,0.052040307272763243,SMNABTCH,0.14797923788802445
226,0.00018174824072048068,0.9457165002822876,SMTSISCH,0.03628504762283049,SMNABTCH,0.13950080459398828
227,0.000180674614966847,0.9458971619606018,SMRDLGTH,0.0749889506312419,SMNABTCH,0.2116331109413533
228,0.00018027093028649688,0.9460774064064026,SMRDLGTH,0.0442841027248453,SMNABTCH,0.11102168700014935
229,0.00018001101852860302,0.9462574124336243,SMRIN,0.031308256366030206,SMNABTCH,0.12282071172290625
230,0.00017949163157027215,0.946436882019043,SMRIN,0.0447730320021407,SMNABTCH,0.19609828745460586
231,0.0001789581001503393,0.9466158151626587,SMRIN,0.02865762185544434,SMNABTCH,0.17910268121992914
232,0.000178214511834085,0.9467940330505371,SMRDLGTH,0.039481922720527356,SMNABTCH,0.2701842181881332
233,0.00017779665358830243,0.9469718337059021,SMRIN,0.032050044340663476,SMNABTCH,0.1262115652405351
234,0.00017745075456332415,0.9471492767333984,DTHHRDY,0.03442681165681751,SMNABTCH,0.17126268207216722
235,0.0001764550688676536,0.9473257064819336,SMRDLGTH,0.0807105313607363,SMNABTCH,0.2309109220985141
236,0.0001757446298142895,0.9475014805793762,SMRDLGTH,0.07656620977129591,SMNABTCH,0.16803261976343303
237,0.00017554328951518983,0.9476770162582397,SMRIN,0.036906442379940826,SMNABTCH,0.13585956329520307
238,0.0001746208727126941,0.9478516578674316,SMTSISCH,0.032797773943734364,SMNABTCH,0.17892646430534745
239,0.00017402131925337017,0.9480257034301758,AGE_mid,0.020297132324386537,SMNABTCH,0.2128750029785571
240,0.0001738062856020406,0.9481995105743408,SMRIN,0.030731053721812056,SMNABTCH,0.19350464658038077
241,0.0001725216134218499,0.9483720064163208,DTHHRDY,0.032238893936868594,SMNABTCH,0.1961950006190377
242,0.00017199992726091295,0.9485440254211426,AGE_mid,0.052222601086731976,SMNABTCH,0.1509115141464823
243,0.00017190836661029607,0.9487159252166748,SMRDLGTH,0.07982370005533292,SMNABTCH,0.13722721842680202
244,0.0001712373341433704,0.9488871693611145,SMRDLGTH,0.04710897899876531,SMNABTCH,0.15848253436867238
245,0.0001708134514046833,0.9490579962730408,AGE_mid,0.04548984595673186,SMNABTCH,0.10960608396011418
246,0.00016993317694868892,0.9492279291152954,SMRDLGTH,0.0359983107409615,SMNABTCH,0.22078839219437993
247,0.00016945147945079952,0.9493973851203918,SMRDLGTH,0.049566380102114414,SMNABTCH,0.18027765465747791
248,0.00016916467575356364,0.9495665431022644,SMRIN,0.030798773667150215,SMNABTCH,0.16903887265430345
249,0.0001684609887888655,0.9497349858283997,SMTSISCH,0.03837299832204127,SMNABTCH,0.15502092324362557
250,0.00016790180234238505,0.9499028921127319,SMRIN,0.041974826232009904,SMNABTCH,0.1618023494412888
251,0.00016783726459834725,0.9500707387924194,DTHHRDY,0.027592003438685037,SMNABTCH,0.1950897941436523
