,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16
ERCC3,-0.02348423,0.2732277,-0.110948086,0.35232306,-0.22325516,0.07573366,0.18348694,0.02990961,-0.20908117,0.5635023,0.11764765,-0.33568144,-0.15084743,0.220716,1.5014052,-0.49191713
ERCC4,-0.3318265,0.32887012,-0.07221103,-0.31476915,-0.1257971,0.18035322,-0.28434098,-0.108109415,0.05353391,0.3532663,-0.035005808,-0.31263828,0.15935898,-0.09585917,1.1368767,-0.1748547
ERCC5,-0.21193027,0.26177168,-0.0011146069,0.7016897,-0.08520484,-0.25292635,0.04748702,-0.030064583,-0.078713894,0.28434992,0.24472475,-0.04245639,-0.37177205,0.13588667,1.119113,-0.55725574
ERCC6,-0.15892386,0.27576983,-0.05080402,0.44240952,0.017383695,0.042775273,0.12681484,0.04813969,0.17601252,0.05505681,0.08050501,-0.14238954,0.039318204,0.1283437,1.3688773,-0.4018098
ERCC6L2,-0.22398531,0.097864866,-0.24115145,0.14395416,-0.024309754,0.13467371,-0.5301267,-0.037422776,0.2967626,0.25385916,-0.07056594,-0.24829507,0.09794533,-0.04711449,0.92932284,-0.37997067
ERCC8,-0.17742515,0.033938885,-0.20087957,-0.35626888,-0.16536117,0.26268363,-0.4039049,-0.121188164,0.15224814,0.17644167,0.09112358,-0.44115782,0.20188093,0.0128388405,1.4281511,0.057536364
EREG,0.059103966,0.08894205,0.08047819,0.052285194,0.37771463,-0.1758337,-0.28597116,-0.28550625,-0.2812147,-0.3946662,0.24267435,0.3201723,-0.15175343,0.12686253,0.7678509,-0.20183325
ERF,0.26111603,0.24539232,-0.09176731,0.58369637,-0.04042387,0.12702942,0.35706758,-0.25399923,-0.30378103,-0.5645275,0.39372444,0.033688545,-0.47980547,0.23498535,-0.04005432,-0.64491034
ERG28,-0.015205145,0.20533204,0.39160848,0.3554225,-0.24468303,-0.40941238,0.57469904,0.30489862,-0.3221631,0.18190145,0.02259016,-0.08529127,-0.06031692,0.13711154,1.2985557,0.024691224
ERGIC1,0.04044622,0.13792515,-0.24364144,-0.1793772,0.23497492,0.75540096,-0.06813705,-0.4326731,0.08214563,-0.27154535,0.30320287,-0.23269206,-0.090390444,0.1373738,-0.36002845,-0.904049
ERGIC2,-0.263986,-0.22805333,-0.009351969,-0.30304492,0.23094714,0.18017888,-0.97197294,-0.039726496,-0.008523464,-0.11087954,-0.11640489,-0.33856332,0.28105974,-0.021210313,0.41511655,-0.30378103
ERGIC3,0.2277255,0.09924173,0.29332638,0.047564507,-0.256598,-0.40814877,0.4583001,0.25880337,-0.5625129,0.48458576,0.06393194,-0.20264387,-0.15708804,0.17617941,0.9357214,0.4171729
