pc,eig_real,perm_p50,perm_p99,above_p99
174,2.5492725,16.913527488708496,16.945556297302247,False
175,2.5413458,16.89064121246338,16.921390419006347,False
176,2.5246878,16.871567726135254,16.890443172454834,False
177,2.5156136,16.845643997192383,16.863642826080323,False
178,2.4952815,16.81911277770996,16.84566354751587,False
179,2.4908423,16.799951553344727,16.828083324432374,False
180,2.4781902,16.779062271118164,16.798429641723633,False
181,2.4762075,16.75162410736084,16.78425395965576,False
182,2.4492972,16.71638011932373,16.743510608673095,False
183,2.444523,16.698967933654785,16.72501136779785,False
184,2.4285412,16.677860260009766,16.700371074676514,False
185,2.4266675,16.656513214111328,16.69213665008545,False
186,2.4022915,16.62910556793213,16.67214277267456,False
187,2.3973286,16.60781955718994,16.63449228286743,False
188,2.3896575,16.58211898803711,16.611973037719725,False
189,2.3707707,16.55718994140625,16.576840438842773,False
190,2.3596585,16.530803680419922,16.56063621520996,False
191,2.3563967,16.5165433883667,16.5380788230896,False
192,2.3449852,16.48787212371826,16.526013717651367,False
193,2.334204,16.466442108154297,16.510342140197753,False
194,2.329968,16.442855834960938,16.46901615142822,False
195,2.3213296,16.414694786071777,16.442644596099854,False
196,2.310884,16.394323348999023,16.41451343536377,False
197,2.2955952,16.36464023590088,16.400995674133302,False
198,2.2728446,16.342862129211426,16.389057807922363,False
199,2.2667186,16.32014751434326,16.360350093841554,False
200,2.2595062,16.29754066467285,16.322556495666504,False
201,2.2514586,16.279719352722168,16.30526113510132,False
202,2.2445202,16.252436637878418,16.277294578552247,False
203,2.2267349,16.229711532592773,16.251557521820068,False
204,2.2191741,16.20933437347412,16.2463759803772,False
205,2.203993,16.181318283081055,16.218825225830077,False
206,2.1974976,16.158254623413086,16.180343055725096,False
207,2.1821837,16.13329792022705,16.154380798339844,False
208,2.179668,16.105162620544434,16.141638526916505,False
209,2.1655672,16.085457801818848,16.109931602478028,False
210,2.151439,16.065950393676758,16.077869148254393,False
211,2.1394885,16.037700653076172,16.064174423217775,False
212,2.13528,16.010892868041992,16.037661209106446,False
213,2.1286707,15.99277114868164,16.026482753753662,False
214,2.1219678,15.969390392303467,16.00621015548706,False
215,2.118621,15.941637516021729,15.965399913787842,False
216,2.1057281,15.921817302703857,15.959208726882935,False
217,2.0946162,15.888553619384766,15.923781576156616,False
218,2.086353,15.866893768310547,15.888629560470582,False
219,2.0777597,15.852718830108643,15.867289142608643,False
220,2.0712504,15.826088428497314,15.854761829376221,False
221,2.06432,15.802500247955322,15.838588056564332,False
222,2.0480356,15.780693531036377,15.815136661529541,False
223,2.0451772,15.758655071258545,15.798107089996337,False
224,2.034456,15.731207847595215,15.759382619857789,False
225,2.0282674,15.712149143218994,15.730099897384644,False
226,2.018063,15.691210746765137,15.715767393112182,False
227,2.0130274,15.663403511047363,15.694078617095947,False
228,2.0025532,15.640959739685059,15.666383104324341,False
229,1.9998109,15.612290859222412,15.650002479553223,False
230,1.9906518,15.593023300170898,15.625342445373535,False
231,1.9792155,15.566078662872314,15.59271110534668,False
232,1.9776667,15.540912628173828,15.573000955581666,False
233,1.9713455,15.516510963439941,15.542985210418701,False
234,1.960437,15.487513065338135,15.523554096221924,False
235,1.9561679,15.467226505279541,15.49481749534607,False
236,1.94932,15.44634199142456,15.469613513946534,False
237,1.9483094,15.416316509246826,15.436480140686035,False
238,1.9268744,15.392267227172852,15.416083402633667,False
239,1.9155753,15.367623329162598,15.3972483253479,False
240,1.9071815,15.351433277130127,15.37760464668274,False
241,1.9048165,15.322465896606445,15.355899639129639,False
242,1.9008617,15.298137187957764,15.328423690795898,False
243,1.8926293,15.273252964019775,15.294252033233642,False
244,1.8864619,15.246370792388916,15.283939790725707,False
245,1.8858864,15.222490787506104,15.251513032913207,False
246,1.8753263,15.196360111236572,15.223707237243651,False
247,1.8611801,15.176326751708984,15.202269096374511,False
248,1.8580525,15.150383472442627,15.185247116088867,False
249,1.8556097,15.122036457061768,15.153655061721802,False
250,1.8437276,15.094000816345215,15.124330282211304,False
251,1.8367776,15.071935653686523,15.106224374771118,False
252,1.8290752,15.045251369476318,15.076167421340942,False
253,1.82442,15.019522190093994,15.042531576156616,False
254,1.8185707,15.00154161453247,15.021861886978149,False
255,1.7990965,14.96934175491333,14.990186185836793,False
256,1.7931733,14.944774150848389,14.976664838790894,False
257,1.788782,14.914398193359375,14.943456106185913,False
258,1.7796115,14.886018753051758,14.912374572753906,False
259,1.7724956,14.861068725585938,14.88462986946106,False
260,1.7656398,14.837408542633057,14.875024242401123,False
261,1.7588798,14.804830074310303,14.841495141983032,False
262,1.7548987,14.783440113067627,14.808806657791138,False
263,1.7389032,14.758331298828125,14.791145296096802,False
264,1.7354058,14.7246413230896,14.760712299346924,False
265,1.726615,14.701633930206299,14.729682712554931,False
266,1.7250762,14.678464412689209,14.703568639755249,False
267,1.7210138,14.647645950317383,14.688583765029907,False
268,1.7158065,14.623425960540771,14.670594654083251,False
269,1.7045527,14.605217456817627,14.634801054000855,False
270,1.6941122,14.574624061584473,14.610423879623413,False
271,1.6876985,14.546058654785156,14.580278682708741,False
272,1.6765912,14.519909381866455,14.546778163909913,False
273,1.6748024,14.491644859313965,14.52308650970459,False
274,1.6619393,14.467821598052979,14.501689958572388,False
275,1.6580129,14.440031051635742,14.471715469360351,False
276,1.6529826,14.41142225265503,14.450189580917359,False
277,1.6444279,14.379448413848877,14.420083322525024,False
278,1.6382315,14.354063987731934,14.392853670120239,False
279,1.6313648,14.329667091369629,14.361561689376831,False
280,1.6258286,14.306232452392578,14.333663148880005,False
281,1.6191676,14.267961978912354,14.296639184951783,False
282,1.6128038,14.23778486251831,14.274226446151733,False
283,1.610457,14.209892272949219,14.249772577285766,False
284,1.596571,14.173864364624023,14.207276992797851,False
285,1.5922375,14.137311458587646,14.177874765396119,False
286,1.5816381,14.112391471862793,14.148344736099244,False
287,1.5713489,14.082103252410889,14.123644456863403,False
288,1.5687045,14.05158519744873,14.10160774230957,False
289,1.5588759,14.029634475708008,14.083629760742188,False
290,1.5498728,13.995121002197266,14.064131183624268,False
291,1.5397449,13.967177391052246,14.004670076370239,False
292,1.525999,13.931333065032959,13.988272180557251,False
293,1.5214288,13.894482135772705,13.935180940628051,False
294,1.5157982,13.857830047607422,13.891111783981323,False
295,1.5041577,13.826138973236084,13.8583536529541,False
296,1.4987797,13.787990093231201,13.840286855697633,False
297,1.4944493,13.754512310028076,13.804573068618774,False
298,1.490737,13.722926139831543,13.770886545181275,False
299,1.4704509,13.691986083984375,13.747214870452881,False
300,1.4576888,13.645421981811523,13.688525733947754,False
