col,pc,rho,p,n
SMMPPD,PC1,-0.0980000139982009,0.005445636851807445,803
SMMPPD,PC2,-0.07614370052452928,0.030968671213370956,803
SMMPPD,PC6,-0.06502345092640975,0.06552416444482544,803
SMMAPRT,PC1,0.018978211962014543,0.5912669027573738,803
SMMAPRT,PC2,0.5123697399586141,5.9186645171105486e-55,803
SMMAPRT,PC6,-0.15283701938340663,1.3625258737965285e-05,803
SMMPPDUN,PC1,0.11386855068236364,0.0012283509229805618,803
SMMPPDUN,PC2,0.576853413945666,2.055188592418929e-72,803
SMMPPDUN,PC6,-0.16532841702921006,2.4758917805063e-06,803
SMUNMPRT,PC1,0.15501684254156645,1.0213244099848533e-05,803
SMUNMPRT,PC2,0.6091127002172219,1.0444955532850192e-82,803
SMUNMPRT,PC6,-0.11410894263308374,0.0011991494094040357,803
SMMPDP,PC1,-0.1524589948893125,1.4317921940053423e-05,803
SMMPDP,PC2,-0.47168263612636224,1.0079594668980608e-45,803
SMMPDP,PC6,0.05348675485131524,0.1299267412479258,803
SMDPMPRT,PC1,-0.15501684254156645,1.0213244099848533e-05,803
SMDPMPRT,PC2,-0.6091127002172219,1.0444955532850192e-82,803
SMDPMPRT,PC6,0.11410894263308374,0.0011991494094040357,803
SMMPPDXG,PC1,0.060694507296006006,0.08564691809886947,803
SMMPPDXG,PC2,0.5318605078352612,7.734409329268629e-60,803
SMMPPDXG,PC6,-0.17544719269093675,5.650320758568836e-07,803
SMMPDPXG,PC1,-0.12422323311069551,0.0004181797445851924,803
SMMPDPXG,PC2,0.11401425712127185,0.0012105740260981695,803
SMMPDPXG,PC6,-0.15240147248095076,1.442621575098359e-05,803
SMDPRTXG,PC1,-0.2418246131319604,3.776336075887263e-12,803
SMDPRTXG,PC2,-0.4775214442185072,5.6740036359596015e-47,803
SMDPRTXG,PC6,0.023627387447945205,0.5037598343368779,803
SMCHMRD,PC1,0.054325975121430774,0.12400292717856233,803
SMCHMRD,PC2,0.5114536136903379,9.864388420413517e-55,803
SMCHMRD,PC6,-0.15219206815696248,1.4827070404690223e-05,803
SMCHMRT,PC1,0.10377288132246475,0.003239901229701954,803
SMCHMRT,PC2,0.5231221772708987,1.3100240027633234e-57,803
SMCHMRT,PC6,-0.10828980410444866,0.002119922378374088,803
SMMPPDPR,PC1,-0.09778781610498577,0.005547884513841119,803
SMMPPDPR,PC2,-0.07621974042051431,0.0308008714010368,803
SMMPPDPR,PC6,-0.06451240071416783,0.06767569407933785,803
SMMPHQRD,PC1,0.01452290168243079,0.6811313822564753,803
SMMPHQRD,PC2,0.4883169253869472,2.39338831870037e-49,803
SMMPHQRD,PC6,-0.1771280428878919,4.383578972929007e-07,803
SMMPHQRT,PC1,0.08628858475788495,0.014447668958579948,803
SMMPHQRT,PC2,0.6865207393604141,5.682379395125741e-113,803
SMMPHQRT,PC6,-0.14793411292420647,2.5685120757674153e-05,803
SMMPLQRD,PC1,-0.09970994986094735,0.004681707656743127,803
SMMPLQRD,PC2,-0.5831077822997942,2.5507726772897464e-74,803
SMMPLQRD,PC6,0.09184446738027519,0.009212353649944629,803
SMSPLTRT,PC1,-0.12125117704968066,0.0005746938681211944,803
SMSPLTRT,PC2,-0.6529768046391198,9.199920176366906e-99,803
SMSPLTRT,PC6,0.14443069145660767,3.9918492124500825e-05,803
SME1MPRD,PC1,-0.09820201452651713,0.0053498835668626225,803
SME1MPRD,PC2,-0.07555528939403133,0.03229381476778041,803
SME1MPRD,PC6,-0.0663964565825636,0.060021188768080776,803
SME2MPRD,PC1,-0.09757086716676089,0.005654206049680039,803
SME2MPRD,PC2,-0.07623524505032654,0.03076675261002781,803
SME2MPRD,PC6,-0.06449657162274515,0.06774325012999077,803
SME1MPRT,PC1,0.012742036637024364,0.7184534439568334,803
SME1MPRT,PC2,0.5355558660859286,8.435091648760344e-61,803
SME1MPRT,PC6,-0.1588247865642205,6.114736843482707e-06,803
SME2MPRT,PC1,0.022601602709477066,0.5224643123208486,803
SME2MPRT,PC2,0.48960563723332984,1.2297083718852793e-49,803
SME2MPRT,PC6,-0.1474691868790664,2.724866218514329e-05,803
SME1MMB,PC1,-0.059355755515580866,0.09279377719233914,803
SME1MMB,PC2,0.06313274359500035,0.07377509700412117,803
SME1MMB,PC6,-0.07652644934567912,0.030131933070390842,803
SME2MMB,PC1,0.0025201396797962534,0.9431568415708497,803
SME2MMB,PC2,0.022553210661196678,0.5233554239513546,803
SME2MMB,PC6,-0.01240773644409821,0.72553809635781,803
SME1TTLB,PC1,-0.09993454682284643,0.004588914761949279,803
SME1TTLB,PC2,-0.07922135795434557,0.02477147844398248,803
SME1TTLB,PC6,-0.06621100359637885,0.06074135621451178,803
SME2TTLB,PC1,-0.09898120908394244,0.004994581480300244,803
SME2TTLB,PC2,-0.07990122090732353,0.023557195298816006,803
SME2TTLB,PC6,-0.06443714879637953,0.06799735157678292,803
SME1MMRT,PC1,0.04270671508707736,0.2267176353258496,803
SME1MMRT,PC2,0.15776945898117767,7.057399137541626e-06,803
SME1MMRT,PC6,-0.03278428499382367,0.3535015491651389,803
SME2MMRT,PC1,0.0761981066668252,0.030848531847818658,803
SME2MMRT,PC2,0.07862789540419012,0.025875308378312013,803
SME2MMRT,PC6,0.0516723893004472,0.14348104305795223,803
SMTTLMM,PC1,-0.015179310696141193,0.6675632691432339,803
SMTTLMM,PC2,0.04658624437586357,0.1872407108667887,803
SMTTLMM,PC6,-0.027603548330712224,0.43472067760693817,803
SMTTLB,PC1,-0.09942831718310217,0.004800459701977202,803
SMTTLB,PC2,-0.07992370146175981,0.023517939886270246,803
SMTTLB,PC6,-0.06504296497469363,0.06544313877497177,803
SMBSMMRT,PC1,0.07083450083988337,0.04478699799467297,803
SMBSMMRT,PC2,0.12080067368891595,0.0006026994180571926,803
SMBSMMRT,PC6,0.030496100588476613,0.38812080473473676,803
SMESTLBS,PC1,0.13505297368834193,0.00012370337662806906,803
SMESTLBS,PC2,0.6164116807848411,3.329580643023319e-85,803
SMESTLBS,PC6,-0.1442350518566134,4.0901476585004886e-05,803
SMEXNCRD,PC1,-0.16352531433261422,3.1925100318798673e-06,803
SMEXNCRD,PC2,-0.08614571635816316,0.014611366415390624,803
SMEXNCRD,PC6,-0.05484407047102231,0.1204522211424928,803
SMEXNCRT,PC1,-0.43999018132803835,2.3969962614546648e-39,803
SMEXNCRT,PC2,-0.03271716798129822,0.35448840783416974,803
SMEXNCRT,PC6,0.08939963859379589,0.011261744677656279,803
SMEXPEFF,PC1,-0.3957339670841223,1.6790624773325101e-31,803
SMEXPEFF,PC2,0.1678274580335697,1.732833821550196e-06,803
SMEXPEFF,PC6,-0.011692692785459811,0.7407699002497772,803
SMNTRNRD,PC1,0.31066814479015936,1.9914325969176976e-19,803
SMNTRNRD,PC2,0.4190927858695671,1.699257698620434e-35,803
SMNTRNRD,PC6,-0.18694050361355216,9.489442904994016e-08,803
SMNTRNRT,PC1,0.34904710955460183,2.0218458500374374e-24,803
SMNTRNRT,PC2,0.4440431420843813,3.992112963488063e-40,803
SMNTRNRT,PC6,-0.15044253550803574,1.8616071275680507e-05,803
SMNTRARD,PC1,-0.09528781622086491,0.006889485665537091,803
SMNTRARD,PC2,-0.015391578116844282,0.6631984995560645,803
SMNTRARD,PC6,-0.08328496151491312,0.01825067457578357,803
SMNTRART,PC1,0.04722984983846796,0.18121428685567248,803
SMNTRART,PC2,0.5769681824362392,1.8977669406444682e-72,803
SMNTRART,PC6,-0.13305019112991004,0.00015605727961777758,803
SMNTERRD,PC1,-0.08258233989754708,0.0192574119542452,803
SMNTERRD,PC2,0.5560936416602404,2.2601725653293185e-66,803
SMNTERRD,PC6,-0.06508940933664242,0.0652506254758635,803
SMNTERRT,PC1,-0.04751211875702836,0.17861705905303205,803
SMNTERRT,PC2,0.5947932208474371,5.39838421122693e-78,803
SMNTERRT,PC6,-0.044493536516137966,0.207855437459453,803
SMAMBRD,PC1,-0.03741387688007542,0.28963359639626646,803
SMAMBRD,PC2,-0.5832350871302256,2.330461798316748e-74,803
SMAMBRD,PC6,0.05542416147879591,0.1165714460091599,803
SMAMBRT,PC1,0.004154476059527235,0.9064293262212659,803
SMAMBRT,PC2,-0.739211675890309,1.1623215001665817e-139,803
SMAMBRT,PC6,0.12033274349881043,0.0006331267007919258,803
SMNTEXC,PC1,-0.0980000139982009,0.005445636851807445,803
SMNTEXC,PC2,-0.07614370052452928,0.030968671213370956,803
SMNTEXC,PC6,-0.06502345092640975,0.06552416444482544,803
SMDSCRT,PC1,,,803
SMDSCRT,PC2,,,803
SMDSCRT,PC6,,,803
SMEXNCRTHQ,PC1,-0.5202475032663585,6.861444819457944e-57,803
SMEXNCRTHQ,PC2,-0.09236289125226615,0.008823103272443008,803
SMEXNCRTHQ,PC6,0.16723531946007678,1.8866187230126035e-06,803
SMNTRNRTHQ,PC1,0.4947897519749965,8.200613515773407e-51,803
SMNTRNRTHQ,PC2,0.1775937737948776,4.0841050557607925e-07,803
SMNTRNRTHQ,PC6,-0.15319712276480787,1.2995193782319584e-05,803
SMNTRARTHQ,PC1,-0.2534932060862798,3.0644425791251175e-13,803
SMNTRARTHQ,PC2,0.4429947447181075,6.361813417727731e-40,803
SMNTRARTHQ,PC6,0.14609697337785382,3.240720199471021e-05,803
SMNTERRTHQ,PC1,-0.15424469253809214,1.1316221534365215e-05,803
SMNTERRTHQ,PC2,0.8559280364542818,1.22227010594443e-231,803
SMNTERRTHQ,PC6,-0.07796476448884482,0.027158696188845623,803
SMAMBRTHQ,PC1,0.2586836154289517,9.616361411491309e-14,803
SMAMBRTHQ,PC2,-0.8396013581175192,1.6998654240586412e-214,803
SMAMBRTHQ,PC6,-0.025643858440503296,0.46804484923001394,803
SME1SNSE,PC1,-0.0904799440776509,0.010310968932402891,803
SME1SNSE,PC2,-0.176696555297691,4.679822041526814e-07,803
SME1SNSE,PC6,-0.04909966306515824,0.16452259944410957,803
SME2SNSE,PC1,-0.0904506730052251,0.010335759863292326,803
SME2SNSE,PC2,-0.1710273998096152,1.0888682893910596e-06,803
SME2SNSE,PC6,-0.0446936829781089,0.20581556099163836,803
SME1ANTI,PC1,-0.09101725250450758,0.009865188641210505,803
SME1ANTI,PC2,-0.16991771792614707,1.2804877828745022e-06,803
SME1ANTI,PC6,-0.04695717352406238,0.183749719997289,803
SME2ANTI,PC1,-0.09126064506398177,0.009668959047177189,803
