tissue,pc,score
blood,1,-28.47120475769043
blood,1,-59.85179901123047
blood,1,-16.221965789794922
blood,1,65.6922836303711
blood,1,30.893537521362305
blood,1,55.29951858520508
blood,1,104.41093444824219
blood,1,92.126953125
blood,1,20.728052139282227
blood,1,108.00948333740234
blood,1,-47.40149688720703
blood,1,-102.07627868652344
blood,1,-42.154212951660156
blood,1,-74.70137023925781
blood,1,112.29490661621094
blood,1,-62.89276123046875
blood,1,-0.031975653022527695
blood,1,-58.18999099731445
blood,1,-50.12224197387695
blood,1,10.305033683776855
blood,1,-46.331092834472656
blood,1,-20.46832847595215
blood,1,69.17237091064453
blood,1,-76.02674865722656
blood,1,-3.914923906326294
blood,1,-40.00727844238281
blood,1,53.325782775878906
blood,1,-43.74365234375
blood,1,-96.771484375
blood,1,-1.4654462337493896
blood,1,21.976757049560547
blood,1,-8.276205062866211
blood,1,-33.27494812011719
blood,1,-43.13276290893555
blood,1,29.382596969604492
blood,1,86.65956115722656
blood,1,21.595428466796875
blood,1,-1.8539165258407593
blood,1,3.0929393768310547
blood,1,-85.27420043945312
blood,1,-88.07559204101562
blood,1,65.32510375976562
blood,1,5.204619884490967
blood,1,56.136138916015625
blood,1,78.77692413330078
blood,1,-69.99256896972656
blood,1,45.80381393432617
blood,1,25.2812557220459
blood,1,-136.34808349609375
blood,1,-2.7387804985046387
blood,1,-12.627050399780273
blood,1,-2.3266663551330566
blood,1,69.39340209960938
blood,1,38.92457962036133
blood,1,17.81312370300293
blood,1,130.6209259033203
blood,1,81.84300231933594
blood,1,-69.92584228515625
blood,1,48.403228759765625
blood,1,-63.85383605957031
blood,1,81.35017395019531
blood,1,18.211223602294922
blood,1,-1.8602511882781982
blood,1,-21.57473373413086
blood,1,0.194512277841568
blood,1,-117.78372955322266
blood,1,-11.354382514953613
blood,1,67.54335021972656
blood,1,62.01594924926758
blood,1,-98.67620086669922
blood,1,-1.912535309791565
blood,1,-24.43106460571289
blood,1,17.11942481994629
blood,1,-82.66427612304688
blood,1,-76.48033142089844
blood,1,-14.68162727355957
blood,1,112.5636978149414
blood,1,31.648662567138672
blood,1,-2.232276439666748
blood,1,77.62181091308594
blood,1,25.41362953186035
blood,1,25.222129821777344
blood,1,10.65287971496582
blood,1,31.335784912109375
blood,1,5.314109802246094
blood,1,-78.91372680664062
blood,1,-11.33444881439209
blood,1,74.63079833984375
blood,1,23.084909439086914
blood,1,-33.109012603759766
blood,1,-21.126630783081055
blood,1,85.9112319946289
blood,1,-53.71944808959961
blood,1,-93.9557113647461
blood,1,42.15959930419922
blood,1,-36.14613342285156
blood,1,-109.6270523071289
blood,1,-87.29637145996094
blood,1,-44.643985748291016
blood,1,7.417166233062744
blood,1,-59.18423843383789
blood,1,60.81941223144531
blood,1,-35.12835693359375
blood,1,-14.13946533203125
blood,1,25.84970474243164
blood,1,20.139728546142578
blood,1,26.959978103637695
blood,1,-61.898128509521484
blood,1,26.184139251708984
blood,1,65.01546478271484
blood,1,16.306129455566406
blood,1,16.43049430847168
blood,1,113.25171661376953
blood,1,8.728754997253418
blood,1,-45.4100227355957
blood,1,-46.34008026123047
blood,1,-103.38021087646484
blood,1,-63.717708587646484
blood,1,60.56631851196289
blood,1,11.433425903320312
blood,1,-109.71348571777344
blood,1,84.1717529296875
blood,1,36.152774810791016
blood,1,120.36003875732422
blood,1,-31.44559097290039
blood,1,-33.80438995361328
blood,1,27.77007484436035
blood,1,-1.025088906288147
blood,1,13.80518913269043
blood,1,-95.16447448730469
blood,1,85.45040130615234
blood,1,-33.94226837158203
blood,1,22.52618980407715
blood,1,6.413600921630859
blood,1,55.64368438720703
blood,1,-66.46485900878906
blood,1,29.583152770996094
blood,1,-2.147230863571167
blood,1,29.349599838256836
blood,1,-11.57288646697998
blood,1,33.87529373168945
blood,1,21.022232055664062
blood,1,-72.72178649902344
blood,1,51.036197662353516
blood,1,-14.235727310180664
blood,1,-6.164867877960205
blood,1,-31.3431396484375
blood,1,36.5202522277832
blood,1,-78.56364440917969
blood,1,-79.17825317382812
blood,1,19.262393951416016
blood,1,-12.335946083068848
blood,1,-21.69441795349121
blood,1,78.8728256225586
blood,1,38.54023742675781
blood,1,-83.40274810791016
blood,1,43.443721771240234
blood,1,5.013729572296143
blood,1,-2.4083404541015625
blood,1,53.404815673828125
blood,1,-20.106441497802734
blood,1,-35.304351806640625
blood,1,-13.178404808044434
blood,1,-12.428539276123047
blood,1,53.943546295166016
blood,1,84.57906341552734
blood,1,-52.528282165527344
blood,1,-91.43021392822266
blood,1,-39.36210632324219
blood,1,120.5426254272461
blood,1,-79.8303451538086
blood,1,-38.48541259765625
blood,1,29.913923263549805
blood,1,-74.97228240966797
blood,1,-48.54024887084961
blood,1,47.804954528808594
blood,1,-48.0430793762207
blood,1,-64.7352523803711
blood,1,-53.15555953979492
blood,1,112.46465301513672
blood,1,18.43623161315918
blood,1,-12.875240325927734
blood,1,32.980594635009766
blood,1,29.069530487060547
blood,1,90.91246032714844
blood,1,31.61372184753418
blood,1,-80.11235809326172
blood,1,-32.389827728271484
blood,1,7.0041069984436035
blood,1,24.366958618164062
blood,1,84.21566772460938
blood,1,-42.33371353149414
blood,1,13.641133308410645
blood,1,-33.3272590637207
blood,1,-57.334877014160156
blood,1,-28.56987762451172
blood,1,-81.4412612915039
blood,1,-55.20676040649414
blood,1,39.20294189453125
blood,1,21.633249282836914
blood,1,-58.35993576049805
blood,1,53.45242691040039
blood,1,-17.722665786743164
blood,1,43.168479919433594
blood,1,-35.67379379272461
blood,1,38.528900146484375
blood,1,23.805017471313477
blood,1,2.8120086193084717
blood,1,-2.4784600734710693
blood,1,-19.104795455932617
blood,1,101.34791564941406
blood,1,57.10740280151367
blood,1,67.63151550292969
blood,1,98.31693267822266
blood,1,-56.95841598510742
blood,1,-68.34149169921875
blood,1,87.80792236328125
blood,1,44.126461029052734
blood,1,-15.985038757324219
blood,1,-8.94135570526123
blood,1,-41.89268493652344
blood,1,-75.03519439697266
blood,1,-95.5619888305664
blood,1,66.75592803955078
blood,1,-31.744403839111328
blood,1,31.01070213317871
blood,1,-16.11469078063965
blood,1,-52.518428802490234
blood,1,51.845428466796875
blood,1,10.830047607421875
blood,1,-78.06597900390625
blood,1,-50.13865280151367
blood,1,1.1876811981201172
blood,1,9.429441452026367
blood,1,-1.8584638833999634
blood,1,1.022329568862915
blood,1,67.98308563232422
blood,1,-49.375221252441406
blood,1,-42.1732292175293
blood,1,-27.57093620300293
blood,1,108.12031555175781
blood,1,-39.42744827270508
blood,1,-56.273216247558594
blood,1,126.9373779296875
blood,1,-34.239166259765625
blood,1,-46.78248977661133
blood,1,-20.81125259399414
blood,1,71.75524139404297
blood,1,-9.945636749267578
blood,1,-51.224693298339844
blood,1,51.79091262817383
blood,1,28.551166534423828
blood,1,37.07300567626953
blood,1,5.307145595550537
blood,1,4.195148468017578
blood,1,-58.40046310424805
blood,1,-26.76799201965332
blood,1,32.83042907714844
blood,1,-94.09954071044922
blood,1,64.98883819580078
blood,1,71.06214904785156
blood,1,-57.689483642578125
blood,1,-1.46751070022583
blood,1,19.906320571899414
blood,1,-19.158952713012695
blood,1,-57.013519287109375
blood,1,47.59812927246094
blood,1,-24.602617263793945
blood,1,-85.7767333984375
blood,1,34.494361877441406
blood,1,27.105865478515625
blood,1,-36.13755798339844
blood,1,1.1427518129348755
blood,1,-64.15592193603516
blood,1,-39.10222244262695
blood,1,4.518625259399414
blood,1,22.082664489746094
blood,1,-51.840538024902344
