rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library,var_explained,cum_var
3,Defense Response To Fungus (GO:0050832),9.2917445078737e-06,21.128205128205128,244.79950290336265,CLEC4D;S100A12;CLEC4E;S100A9;S100A8,0.0034514708226634,0,0,1,neg,GO_Biological_Process_2023,0.31109592,0.31109592
1,Obstructive lung disease (HP:0006536),0.0013185462203513,15.854394870424793,105.13406751270358,SERPINA1;NCF2;NCF4,0.1424572292817616,0,0,1,neg,Human_Phenotype_Ontology,0.31109592,0.31109592
2,Chronic obstructive pulmonary disease (HP:0006510),0.0013185462203513,15.854394870424793,105.13406751270358,SERPINA1;NCF2;NCF4,0.1424572292817616,0,0,1,neg,Human_Phenotype_Ontology,0.31109592,0.31109592
3,Hepatosplenomegaly (HP:0001433),0.0019263332020576,13.690355329949238,85.59397680666795,CSF3R;STXBP2;TALDO1,0.1424572292817616,0,0,1,neg,Human_Phenotype_Ontology,0.31109592,0.31109592
1,Innate Immune System R-HSA-168249,5.7002116903476495e-18,5.681365146481426,225.58444563586824,LILRA6;CDA;CD63;SERPINA1;NCF2;GMFG;NCF4;FPR1;LY96;PYGL;NLRC4;RASGRP4;SIRPB1;CXCR1;ALOX5;CASP4;RPS6KA1;S100A12;CD59;GYG1;S100A11;MAP2K6;MAP2K3;SERPINB1;FCER1G;ATP6V0E1;GCA;SLC11A1;RHOG;MCEMP1;IRAK3;FGR;HCK;LRG1;TYROBP;DOK3;CLEC4D;SELL;CYSTM1;S100P;ATP6V0D1;TLR5;CLEC4E;TLR4;S100A9;S100A8,3.07811431278773e-15,0,0,1,neg,Reactome_2022,0.31109592,0.31109592
2,Neutrophil Degranulation R-HSA-6798695,4.994462201777693e-16,7.800966962127316,274.85171664884945,LILRA6;CDA;CD63;SERPINA1;GMFG;FPR1;PYGL;SIRPB1;CXCR1;ALOX5;S100A12;CD59;GYG1;S100A11;SERPINB1;FCER1G;GCA;SLC11A1;RHOG;MCEMP1;FGR;LRG1;TYROBP;DOK3;CLEC4D;SELL;CYSTM1;S100P;S100A9;S100A8,1.3485047944799766e-13,0,0,1,neg,Reactome_2022,0.31109592,0.31109592
3,Immune System R-HSA-168256,1.502124602703151e-13,3.69166225048578,109.00269865143235,CDA;IFITM2;SERPINA1;CSF3R;NCF2;GMFG;NCF4;PYGL;SIRPB1;IL18RAP;CASP4;RPS6KA1;GYG1;MAP2K3;SERPINB1;FCER1G;ATP6V0E1;IL1R2;SLC11A1;RHOG;TALDO1;MCEMP1;IRAK3;FGR;HCK;TYROBP;DOK3;CLEC4D;ATP6V0D1;TLR5;CLEC4E;TLR4;S100A9;S100A8;LILRA6;CD63;CEBPD;STXBP2;FPR1;LY96;NLRC4;LILRA2;CSF2RA;RASGRP4;LILRA5;CXCR1;ALOX5;S100A12;CD59;S100A11;MAP2K6;GCA;LRG1;SELL;CYSTM1;S100P,2.703824284865672e-11,0,0,1,neg,Reactome_2022,0.31109592,0.31109592
1,SPI1 23547873 ChIP-Seq NB4 Human,1.7826469621108686e-17,3.886404833836858,149.88249522706192,IFITM2;SPI1;NCF2;GMFG;NCF4;PYGL;ARRB2;TMEM91;SIRPB1;HK3;MMP25;FRAT2;IL18RAP;STK16;RPS6KA1;ARHGDIB;ROPN1L;UPP1;ARHGEF40;CLIC1;GPSM3;MAP2K3;ARL11;SERPINB1;FCER1G;IL1R2;DNTTIP1;RHOG;TALDO1;RAB32;FGR;MYL6;TYROBP;DOK3;ZNF438;HCLS1;ATP6V0D1;TLR4;S100A9;S100A8;TSEN34;RALB;LIN7A;NLRC4;CCNDBP1;OAZ1;GABARAP;RASGRP4;LILRA5;SNX3;FUT7;GNG5;HRH2;ALOX5;UBTD1;CD59;S100A11;PHC2;CD163;GADD45A;TRAPPC5;NSFL1C;NLRP12;LRG1;VNN2;DHRS9;FES;SHKBP1;GNB2;TBXAS1;ALOX5AP;S100P;LRP10;SMAP2;MSRB1,1.2781578718334928e-14,0,0,1,neg,ChEA_2022,0.31109592,0.31109592
2,MECOM 23826213 ChIP-Seq KASUMI Mouse,2.360811749740978e-12,3.802508390743685,101.8008139343616,RALB;CSF3R;CEBPD;NCF2;GMFG;AQP9;NCF4;LY96;PYGL;NLRC4;ARRB2;CCNDBP1;OAZ2;RASGRP4;SNX3;IL18RAP;FUT7;IMPA2;ARHGDIB;TSPO;UPP1;ARHGEF40;CLIC1;GPSM3;ARL11;NFE2;PHC2;FCER1G;MBOAT7;RHOG;TALDO1;SLC25A37;MYL6;DOK3;CLEC4D;SELL;FES;IMPDH1;ALOX5AP;HCLS1;B9D2;TKT;CLEC4E;LRP10;CCNJL;PRR13;GAS7,8.463510122821406e-10,0,0,1,neg,ChEA_2022,0.31109592,0.31109592
3,SMRT 22465074 ChIP-Seq MACROPHAGES Mouse,3.848389180070214e-08,2.9642857142857144,50.60932730261663,RALB;CEBPD;NCF2;GMFG;NCF4;FPR1;LY96;ARRB2;SNX3;HK3;SPTLC2;IMPA2;BASP1;MKNK1;UBTD1;CLIC1;GPSM3;MAP2K3;NFE2;SEMA4A;PHC2;NQO2;FCER1G;SORT1;IL1R2;SLC11A1;IRAK3;RAB32;DOK3;CLEC4D;SHKBP1;GNB2;ALOX5AP;MANSC1;B9D2;TLR5;LRP10;SMAP2;CCNJL;GAS7,9.197650140367811e-06,0,0,1,neg,ChEA_2022,0.31109592,0.31109592
