pc,var_explained_pct,cum_var_pct,pos_term,pos_library,pos_adj_p,neg_term,neg_library,neg_adj_p,best_continuous_var,best_continuous_rho,best_categorical_var,best_categorical_eta2
39,0.14166789999999999,87.075615,heme Metabolism,MSigDB_Hallmark_2020,5.729315404528105e-09,heme Metabolism,MSigDB_Hallmark_2020,7.177451676471247e-08,SMRIN,0.0601548306704297,SMGEBTCH,0.2177839604669777
40,0.13901385,87.21463,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,1.5201236987823995e-11,Interferon Alpha Response,MSigDB_Hallmark_2020,0.0002112726107274,SMRIN,0.0675904087617849,SMNABTCH,0.2248961686755859
41,0.13705768,87.351686,Hematopoietic cell lineage,KEGG_2021_Human,7.597015883424131e-07,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,5.616654193964805e-06,SMTSISCH,0.0448381739325624,SMNABTCH,0.1687308986735446
42,0.1325534,87.48424,Interferon Alpha Response,MSigDB_Hallmark_2020,1.8869523280241063e-06,heme Metabolism,MSigDB_Hallmark_2020,2.903916018324443e-15,AGE_mid,0.0508576617021717,SMNABTCH,0.1463480962363974
43,0.1266686,87.610906,IL-2/STAT5 Signaling,MSigDB_Hallmark_2020,0.0038003336453092,Myogenesis,MSigDB_Hallmark_2020,6.142208690920083e-11,SMRDLGTH,0.0774443778303623,SMNABTCH,0.1983951868183616
44,0.12254535,87.733454,heme Metabolism,MSigDB_Hallmark_2020,6.308652260691361e-07,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,5.047881132646281e-10,DTHHRDY,0.0731535286386955,SMNABTCH,0.1968927371828477
45,0.12194628,87.85539999999999,Attenuation Phase R-HSA-3371568,Reactome_2022,3.3481552328383007e-15,Huntington disease,KEGG_2021_Human,6.967693475720098e-10,AGE_mid,0.0264918581499849,SMNABTCH,0.2431721631193231
46,0.11547753,87.970877,Spliceosome,KEGG_2021_Human,0.0039699303333571,Interferon Alpha Response,MSigDB_Hallmark_2020,0.0018385660896796,AGE_mid,0.1213310940591035,SMNABTCH,0.1720211081808311
47,0.11411423000000001,88.08498999999999,Interferon Gamma Response,MSigDB_Hallmark_2020,0.007410650608353,PARP1 human,TRRUST_Transcription_Factors_2019,0.0079931102244891,AGE_mid,0.0915907061883101,SMGEBTCH,0.1847480405896459
48,0.11103513,88.19603000000001,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,1.598770157699449e-11,Receptor-Mediated Endocytosis Of Virus By Host Cell (GO:0019065),GO_Biological_Process_2023,0.1101323894271201,SMRIN,0.0709969110575264,SMNABTCH,0.1899555929054159
49,0.10564892,88.301677,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,1.3799418355465146e-08,KLF4 human,TRRUST_Transcription_Factors_2019,0.0067338038790907,SMTSISCH,0.0724782002893056,SMNABTCH,0.2919374729282108
50,0.10237346000000001,88.40405,Response To Unfolded Protein (GO:0006986),GO_Biological_Process_2023,0.0003325869654283,Glomerular Filtration (GO:0003094),GO_Biological_Process_2023,0.0069862508369302,SMRDLGTH,0.0623344699439254,SEX,0.220211726868687
51,0.09769612,88.501745,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,0.0002275598741969,Cyclin D Associated Events In G1 R-HSA-69231,Reactome_2022,0.0003147068490892,SMTSISCH,0.0824583727393395,SMNABTCH,0.1305768989814512
52,0.09717672,88.598925,GATA1 human,TRRUST_Transcription_Factors_2019,0.0024884201770932,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,6.161939417419469e-07,AGE_mid,0.0599358237842122,SMNABTCH,0.1864928805031515
53,0.095064344,88.69399,heme Metabolism,MSigDB_Hallmark_2020,4.0761845192800455e-06,Myogenesis,MSigDB_Hallmark_2020,3.1479489330926854e-05,AGE_mid,0.0781203061761646,SMNABTCH,0.2362799333676342
54,0.090024195,88.78401500000001,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,4.658496593462909e-06,heme Metabolism,MSigDB_Hallmark_2020,0.0014532398861577,SMRIN,0.0772461085411617,SMNABTCH,0.222101658521501
