,CD4_naive,CD4_memory,CD8_naive,CD8_cytotoxic,Treg,B_naive,B_memory,Plasmablast,Mono_classical,Mono_nonclassical,NK_bright,NK_dim,Neut_mature,Neut_immature,Eosinophil,Basophil,cDC1,cDC2,pDC,Activation,Exhaustion,Proliferation,Type1_IFN,Inflammation
NK_bright,0.40471671496460976,0.8424934632309047,0.685789649647625,0.9208952379798455,0.8785090129705452,0.46359281691288107,0.36345250182991773,0.5818121330211292,-0.6013642357610213,0.6253227321853666,1.0,0.8729454046406498,-0.741389067632614,0.5464912060608316,,0.5516544237845039,0.6418477085045343,0.5747095177268999,0.48699796132321704,0.7899013717728737,0.9216852153055498,0.4913223514052321,0.41018724702663234,0.7743230367875354
NK_dim,0.26597578806689026,0.7412690211486956,0.5411803314421482,0.9491091585319397,0.8024633274571545,0.33395312247949316,0.22859187592062702,0.5819962809871381,-0.6061027356235326,0.7059223252756166,0.8729454046406498,1.0,-0.7331004828219136,0.5128956568640748,,0.4708916896828502,0.6000252336929799,0.5085898155136558,0.4604200871407537,0.7681134123454119,0.8977018603894371,0.4914465919849339,0.41836994877147027,0.6722530170224675
Neut_mature,-0.15723305136497776,-0.6208975807857924,-0.44441117336240893,-0.7834609792033462,-0.7372563247436802,-0.32541339348355,-0.13149718862979337,-0.5305497497541414,0.8322920341595209,-0.43174678559978796,-0.7413890676326141,-0.7331004828219136,1.0,-0.6011172553903082,,-0.4789551241809222,-0.46204360087908086,-0.368137725005066,-0.33069679347558045,-0.7721162929157531,-0.8080544350302807,-0.5335337460681918,-0.39353954451777773,-0.6857434146501633
Neut_immature,-0.0019601864213803616,0.4202861324498078,0.24376742621831224,0.5895015463379152,0.49073557016685776,0.1673657236514737,0.001738723771982759,0.5414555685482397,-0.3509820569666468,0.31241110756629437,0.5464912060608316,0.5128956568640749,-0.6011172553903082,1.0,,0.5274673694782311,0.3187516591590711,0.2226825610172497,0.3001990080377168,0.6384537112076593,0.6009690652073739,0.7699896559141775,0.27415525386959677,0.5533364896432007
Eosinophil,,,,,,,,,,,,,,,,,,,,,,,,
Basophil,0.24418829414434348,0.5440322172944417,0.40041390401535265,0.5224163972990843,0.5482357955755964,0.28198591947222407,0.2389414194271388,0.4480776046876447,-0.27274239014788987,0.4201943684280952,0.5516544237845038,0.4708916896828502,-0.47895512418092223,0.5274673694782311,,1.0,0.45146554649738,0.529818264785517,0.4106500349931815,0.44582602275071054,0.5177610129948212,0.49607582524477856,0.31054881659280953,0.4986066762050325
cDC1,0.5285002195954113,0.7194003116204413,0.593775040414882,0.5620718873339389,0.7196589961339486,0.5497856817864631,0.5265179735022278,0.39822786951359024,-0.22205060634440862,0.765178011179998,0.6418477085045342,0.6000252336929799,-0.4620436008790808,0.31875165915907105,,0.45146554649738,1.0,0.7104083445853716,0.6059760348588308,0.5064437636635499,0.6042771705072716,0.3490247224220721,0.4052861273974955,0.5853858995250341
cDC2,0.5709091722469755,0.7046515409640846,0.599157025605058,0.5194914482546558,0.6680018982112994,0.5046638313870044,0.5129356397213642,0.2962787990885479,-0.16452707705800576,0.711260082615426,0.5747095177268999,0.5085898155136558,-0.368137725005066,0.2226825610172497,,0.5298182647855171,0.7104083445853715,1.0,0.5521670160662833,0.35126664497931215,0.49827257908887485,0.17470508752160868,0.37490348123353173,0.48979454689520646
pDC,0.5307552786971399,0.5811835916427524,0.5546813393003479,0.4500623808267504,0.6156987875510069,0.4889983752123328,0.49545724342400943,0.4114765013808825,-0.18838441349747825,0.5563944936569607,0.486997961323217,0.4604200871407537,-0.3306967934755805,0.30019900803771676,,0.4106500349931815,0.6059760348588308,0.5521670160662833,1.0,0.39545272506242674,0.5126732800010442,0.29809178480840204,0.478719867241133,0.43472691934396746
Activation,0.0777640702192041,0.55789413168828,0.37180538118793705,0.8022759696548702,0.7103937877075036,0.25122319843068136,0.033182626186778565,0.521953532110646,-0.6447537792493426,0.5007718196631149,0.7899013717728737,0.7681134123454119,-0.7721162929157531,0.6384537112076593,,0.44582602275071054,0.5064437636635498,0.35126664497931215,0.39545272506242674,0.9999999999999998,0.8530605787139269,0.5199083302629911,0.29158056917920483,0.8993287473152229
Exhaustion,0.3304291019551708,0.7846764999017692,0.6464745424280801,0.9480462773873373,0.8947401786307126,0.40962546524788573,0.28363748482839,0.6167586408626878,-0.656901310534312,0.6213581629858517,0.9216852153055498,0.8977018603894371,-0.8080544350302808,0.6009690652073739,,0.5177610129948212,0.6042771705072716,0.49827257908887485,0.5126732800010441,0.8530605787139269,0.9999999999999998,0.5449515818051152,0.4297641151110616,0.7852700978854871
Proliferation,0.035613480581895306,0.47301009675892625,0.25710362251586255,0.5220502412308371,0.4786968846310757,0.16887729271612092,0.10586929172828048,0.6835145057395277,-0.23676261767172938,0.32769710408284153,0.4913223514052321,0.49144659198493396,-0.5335337460681919,0.7699896559141773,,0.49607582524477856,0.3490247224220721,0.17470508752160868,0.2980917848084021,0.5199083302629911,0.5449515818051152,1.0,0.31020497875801994,0.4211833716042601
Type1_IFN,0.32122084523038325,0.45822481571668505,0.40530247612816156,0.4238767201270866,0.48297648485440536,0.2696974027200704,0.31354683663058946,0.38405170751656426,-0.2869807042601662,0.41367885951118333,0.4101872470266323,0.41836994877147027,-0.3935395445177777,0.27415525386959677,,0.31054881659280953,0.4052861273974954,0.3749034812335318,0.47871986724113297,0.29158056917920483,0.4297641151110616,0.31020497875802,1.0,0.29787911534462924
Inflammation,0.1778848114995894,0.5819202435223398,0.4285828652967964,0.723468422512437,0.7051024728124728,0.3022794547825969,0.1006911959925519,0.40850983765335835,-0.542261720012699,0.4967146976194887,0.7743230367875354,0.6722530170224676,-0.6857434146501633,0.5533364896432007,,0.4986066762050325,0.5853858995250342,0.48979454689520646,0.4347269193439674,0.8993287473152229,0.7852700978854871,0.42118337160426006,0.29787911534462924,1.0
